Drug	Brand_Name	FDA_Approval	Date_Posted	Date_Updated
Abiraterone Acetate	Zytiga	Yes	 May 16, 2011	 October 23, 2014
Methotrexate	Rheumatrex|Trexall|Abitrexate|Folex PFS|Folex|Methotrexate LPF|Mexate-AQ|Mexate	Yes	 May 21, 2008	 July 16, 2013
Paclitaxel Albumin-stabilized Nanoparticle Formulation	Abraxane	Yes	 October 5, 2006	 November 18, 2013
ABVD	NA	NA	 September 18, 2009	 September 18, 2014
ABVE	NA	NA	 November 19, 2010	 April 10, 2013
ABVE-PC	NA	NA	 November 19, 2010	 April 10, 2013
AC	NA	NA	 April 22, 2010	 May 29, 2012
AC-T	NA	NA	 September 18, 2009	 May 29, 2012
Brentuximab Vedotin	Adcetris	Yes	 September 12, 2011	 August 21, 2015
ADE	NA	NA	 December 30, 2010	 May 29, 2012
Ado-Trastuzumab Emtansine	Kadcyla	Yes	 March 13, 2013	 October 23, 2014
Doxorubicin Hydrochloride	NA	FDA Approved	 August 10, 2007	 September 17, 2014
Afatinib Dimaleate	Gilotrif	Yes	 July 25, 2013	 October 23, 2014
Everolimus	Afinitor|Zortress	Yes	 April 21, 2009	 March 10, 2016
Netupitant and Palonosetron Hydrochloride	Akynzeo	Yes	 May 27, 2015	 January 14, 2016
Imiquimod	Aldara	Yes	 October 5, 2006	 September 17, 2014
Aldesleukin	Proleukin	Yes	 October 30, 2008	 May 11, 2015
Alectinib	Alecensa	Yes	 December 17, 2015	 March 3, 2016
Alectinib	Alecensa	Yes	 December 17, 2015	 March 3, 2016
Alemtuzumab	Campath	Yes	 November 30, 2007	 October 23, 2014
Melphalan Hydrochloride	Evomela|Alkeran	Yes	 March 28, 2016	 March 28, 2016
Melphalan	Alkeran	Yes	 March 28, 2016	 March 28, 2016
Pemetrexed Disodium	ALIMTA	Yes	 October 5, 2006	 October 25, 2011
Palonosetron Hydrochloride	Aloxi	Yes	 May 6, 2010	 August 24, 2011
Chlorambucil	Ambochlorin|Amboclorin|Leukeran|Linfolizin	Yes	 November 29, 2010	 September 17, 2014
Chlorambucil	Ambochlorin|Amboclorin|Leukeran|Linfolizin	Yes	 November 29, 2010	 September 17, 2014
Aminolevulinic Acid	Levulan Kerastick|Levulan	Yes	 January 25, 2007	 May 16, 2011
Anastrozole	Arimidex	Yes	 February 5, 2007	 March 24, 2016
Aprepitant	Emend	Yes	 January 25, 2007	 May 27, 2015
Pamidronate Disodium	Aredia	Yes	 August 14, 2013	 July 31, 2014
Anastrozole	Arimidex	Yes	 February 5, 2007	 March 24, 2016
Exemestane	Aromasin	Yes	 October 5, 2006	 August 6, 2013
Nelarabine	Arranon	Yes	 October 5, 2006	 July 19, 2011
Arsenic Trioxide	Trisenox	Yes	 January 25, 2007	 May 11, 2015
Ofatumumab	Arzerra	Yes	 November 20, 2009	 January 21, 2016
