DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00001,Lepirudin,138068-37-8,BiotechDrug,"",D06880,,,"",PA450195,"",P01050,ITH1_HIRME,"",11916,http://www.rxlist.com/cgi/generic/lepirudin.htm,"",Lepirudin,http://www.drugs.com/cdi/lepirudin.html,,,,DAP000541
DB00002,Cetuximab,205923-56-4,BiotechDrug,"",D03455,,,"",PA10040,"","","",J00228,13175,http://www.rxlist.com/cgi/generic3/erbitux.htm,"",Cetuximab,http://www.drugs.com/cdi/cetuximab.html,,,,DNC000788
DB00003,Dornase alfa,9003-98-9,BiotechDrug,"","",,,"",PA10318,"",P24855,DNAS1_HUMAN,M55983,650,http://www.rxlist.com/cgi/generic/pulmozyme.htm,"",Dornase_alfa,http://www.drugs.com/cdi/dornase-alfa.html,,,,DAP000981
DB00004,Denileukin diftitox,173146-27-5,BiotechDrug,"","",,,"",PA164750594,"",P00587,DTX_COROM,V01536,"",http://www.rxlist.com/cgi/generic2/denileukin.htm,"",Denileukin_diftitox,http://www.drugs.com/cdi/denileukin-diftitox.html,,,,DAP001098
DB00005,Etanercept,185243-69-0,BiotechDrug,C07897,D00742,,,"",PA449515,"",P20333,TNR1B_HUMAN,M32315,12032,http://www.rxlist.com/cgi/generic/etanercept.htm,"",Etanercept,http://www.drugs.com/cdi/etanercept.html,,,,DNC000605
DB00006,Bivalirudin,128270-60-0,SmallMoleculeDrug,"",D03136,16129704,46507415,59173,PA10032,"","","","",12945,http://www.rxlist.com/cgi/generic/angiomax.htm,"",Bivalirudin,http://www.drugs.com/cdi/bivalirudin.html,,,,DAP000542
DB00007,Leuprolide,53714-56-0,BiotechDrug,C07612,D08113,,,6427,PA450203,"","","","",1756,http://www.rxlist.com/cgi/generic/eligard.htm,"",Leuprolide,http://www.drugs.com/cdi/leuprolide.html,,,,DAP000020
DB00008,Peginterferon alfa-2a,198153-51-4,BiotechDrug,"","",,,"",PA164749390,"",P01563,IFNA2_HUMAN,J00207,13246,http://www.rxlist.com/cgi/generic3/pegasys.htm,"",Peginterferon_alfa-2a,http://www.drugs.com/cdi/peginterferon-alfa-2a.html,,,,DAP001278
DB00009,Alteplase,105857-23-6,BiotechDrug,"",D02837,,,"",PA164776730,"",P00750,TPA_HUMAN,L00153,7297,http://www.rxlist.com/cgi/generic/alteplas.htm,"",Alteplase,http://www.drugs.com/cdi/alteplase.html,,,,DAP000203
DB00010,Sermorelin,86168-78-7,BiotechDrug,C08192,"",,,"",PA164749110,"","","","","",http://www.rxlist.com/cgi/generic2/sermorelin.htm,"",Sermorelin,http://www.drugs.com/cdi/sermorelin-acetate.html,,,,DAP001055
