Drug	Target_Name	UniProt_ID	Target_Org	PubMedIDs
Lepirudin	Prothrombin	P00734	Human	10912644|11807012|11752352|11467439|11055889|10505536
Cetuximab	Epidermal growth factor receptor	P00533	Human	10601294|11408594|10480573|11752352|10628369|11431346
Cetuximab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	16336752
Cetuximab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Cetuximab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Cetuximab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Cetuximab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Cetuximab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17016423|17139284|17704420
Cetuximab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Cetuximab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	7547242
Cetuximab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284|17704420
Cetuximab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Cetuximab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Dornase alfa	DNA	null	Human	8792953
Denileukin diftitox	Interleukin-2 receptor subunit alpha	P01589	Human	3124610|17016423|2786749|17139284|11752352|17187516|18684057
Denileukin diftitox	Interleukin-2 receptor subunit beta	P14784	Human	15811959|11752352|16516670|17187516|18684057
Denileukin diftitox	Cytokine receptor common subunit gamma	P31785	Human	15811959|11707860|16516670
Etanercept	Tumor necrosis factor	P01375	Human	10375846|10206649|10338381|10357816|11752352|10405518
Etanercept	Tumor necrosis factor receptor superfamily member 1B	P20333	Human	11752352
Etanercept	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284
Etanercept	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	15526004|15457442
Etanercept	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	15526004|15457442
Etanercept	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Etanercept	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	7535196|10800083
Etanercept	Lymphotoxin-alpha	P01374	Human	11302411|15695296|15033655|15005015|1328224
Etanercept	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	15526004|17387033|15457442|10800083
Etanercept	Complement C1s subcomponent	P09871	Human	17016423|17139284
Etanercept	Complement C1r subcomponent	P00736	Human	17016423|17139284
Etanercept	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Etanercept	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Etanercept	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Bivalirudin	Prothrombin	P00734	Human	11833835|11752352|11504570|11929334|11060732|11923794
Leuprolide	Gonadotropin-releasing hormone receptor	P30968	Human	15758569|9625809|10687850|10394541|16809153
Peginterferon alfa-2a	Interferon alpha/beta receptor 2	P48551	Human	15898717|16953837|11752352|19955815
Peginterferon alfa-2a	Interferon alpha/beta receptor 1	P17181	Human	15898717|16953837|11752352|19955815
Alteplase	Plasminogen	P00747	Human	18673235|17963464|19436656|11752352
Alteplase	Fibrinogen alpha chain	P02671	Human	18673235|17963464|19436656
Alteplase	Urokinase plasminogen activator surface receptor	Q03405	Human	17016423|17139284
Alteplase	Plasminogen activator inhibitor 1	P05121	Human	17963464
Sermorelin	Growth hormone-releasing hormone receptor	Q02643	Human	14499707|11752352
Interferon alfa-n1	Interferon alpha/beta receptor 2	P48551	Human	17016423|10822464|17139284|11752352|19955815
Interferon alfa-n1	Interferon alpha/beta receptor 1	P17181	Human	17016423|10822464|17139284|11752352|19955815
