ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
003444	001	AA	1	1
005010	001	AA	1	1
005010	004	AA	1	1
005378	002	AA	1	1
005929	001	AP	1	1
006002	001	AA	1	1
006035	004	AP	1	1
006134	002	AA	1	1
006134	010	AA	1	1
006188	001	BD	1	1
006488	002	AP	1	1
006488	004	AP	1	1
006488	005	AP	1	1
006488	007	AP	1	1
006488	008	AP	1	1
006488	010	AP	1	1
006488	012	AP	1	1
006488	017	AP	1	1
006488	018	AP	1	1
006488	019	AP	1	1
007073	001	AB	1	1
007073	002	AB	1	1
007337	007	AA	1	1
007409	001	AB	1	1
007409	003	AB	1	1
007513	001	AP	1	1
007936	001	AT	1	1
008085	002	AB	1	1
008278	003	AP	1	1
008316	001	AB	1	1
008370	001	AP	1	1
008370	002	AP	1	1
008453	002	AP	1	1
008678	002	AA	1	1
008678	003	AA	1	1
008697	001	AB	1	1
008697	002	AB	1	1
008697	003	AB	1	1
008708	001	AB	1	1
008762	001	AB	1	1
008816	001	AT	1	1
008845	001	AP	1	1
008845	006	AP	1	1
009112	003	AT	1	1
009165	003	AO	1	1
009170	002	AB	1	1
009170	003	AB	1	1
009175	001	AB	1	1
009218	005	AB	1	1
009218	007	AB	1	1
009218	013	AB	1	1
009218	016	AB	1	1
009218	018	AB	1	1
009218	022	AB	1	1
009218	023	AB	1	1
009218	025	AB	1	1
009218	026	AB	1	1
009330	002	AP	1	1
009402	003	AO	1	1
009402	004	AO	1	1
009435	002	AP	1	1
009435	006	AP	1	1
009435	007	AP	1	1
009470	001	AT	1	1
009768	001	AB	1	1
009829	002	AB	1	1
009830	001	AP	1	1
009838	001	BP	1	1
009838	002	BP	1	1
009866	001	AP	1	1
009866	002	AP	1	1
009866	003	AP	1	1
009866	004	AP	1	1
010040	001	AP	1	1
010187	003	AB	1	1
010187	006	AB	1	1
010187	010	AB	1	1
010379	001	AB	1	1
010379	002	AB	1	1
010379	003	AB	1	1
010417	001	AP	1	1
010417	002	AT	1	1
010721	001	AA	1	1
010721	004	AA	1	1
010721	006	AA	1	1
011011	004	AA	1	1
011011	006	AA	1	1
011145	005	AP	1	1
011153	001	AB	1	1
011153	002	AB	1	1
011153	003	AB	1	1
011153	004	AB	1	1
011153	006	AB	1	1
011210	001	AA	1	1
011245	003	AA	1	1
011287	001	AA	1	1
011459	002	AB	1	1
011459	004	AB	1	1
011525	001	AP	1	1
011600	001	AT	1	1
011600	003	AT	1	1
011641	003	AB	1	1
011641	006	AB	1	1
011665	001	AB	1	1
011719	010	AP	1	1
011719	012	AP	1	1
011722	002	AA	1	1
011757	001	AB	1	1
011757	004	AB	1	1
011790	001	AP	1	1
011792	001	AA	1	1
011792	004	AB	1	1
011839	001	AB	1	1
011839	003	AB	1	1
011839	004	AB	1	1
011856	003	AP	1	1
011856	004	AP	1	1
011856	005	AP	1	1
