Ligand id,Name,Species,Type,Approved,Withdrawn,Labelled,Radioactive,PubChem SID,PubChem CID,UniProt id,IUPAC name,INN,Synonyms,SMILES,InChIKey,InChI
6069,"10,10-difluoro TXA<sub>2</sub>",,Synthetic organic,,,,,178102690,73755171,,"(Z)-7-[(1S,3R,4R,5R)-7,7-difluoro-3-[(E,3S)-3-hydroxyoct-1-enyl]-6-oxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid",,,CCCCC[C@@H](/C=C/[C@H]1C[C@@H]2O[C@H]([C@@H]1C/C=C\CCCC(=O)O)C2(F)F)O,CIYZUODQUHAGKZ-SCVXEUJASA-N,"InChI=1S/C21H32F2O4/c1-2-3-6-9-16(24)13-12-15-14-18-21(22,23)20(27-18)17(15)10-7-4-5-8-11-19(25)26/h4,7,12-13,15-18,20,24H,2-3,5-6,8-11,14H2,1H3,(H,25,26)/b7-4-,13-12+/t15-,16-,17+,18-,20+/m0/s1"
1835,10-OBn-7&alpha;-F-gingkolide B,,Natural product,,,,,135652650,73755010,,,,10-OBn-7&alpha;-F-GB|compound 17 [PMID: 12570381],O=C1OC2C3([C@H]1OCc1ccccc1)C([C@@H](C1C43[C@@](O2)(C(=O)O1)[C@@]1([C@H](C4O)OC(=O)C1C)O)F)C(C)(C)C,LFVHCLPCEWRXME-CLNXZACASA-N,"InChI=1S/C27H29FO10/c1-11-19(30)35-17-15(29)25-16-13(28)14(23(2,3)4)24(25)18(34-10-12-8-6-5-7-9-12)20(31)37-22(24)38-27(25,21(32)36-16)26(11,17)33/h5-9,11,13-18,22,29,33H,10H2,1-4H3/t11?,13-,14?,15?,16?,17-,18-,22?,24?,25?,26+,27-/m0/s1"
1838,10-OBn-epi-ginkgolide C,,Natural product,,,,,135652651,73755013,,,,10-OBn-epi-GC,O=C1OC2C3([C@H]1OCc1ccccc1)C([C@@H](C1C43[C@@](O2)(C(=O)O1)[C@@]1([C@H](C4O)OC(=O)C1C)O)O)C(C)(C)C,YPOMAFCMSAKBRX-CLNXZACASA-N,"InChI=1S/C27H30O11/c1-11-19(30)35-17-15(29)25-16-13(28)14(23(2,3)4)24(25)18(34-10-12-8-6-5-7-9-12)20(31)37-22(24)38-27(25,21(32)36-16)26(11,17)33/h5-9,11,13-18,22,28-29,33H,10H2,1-4H3/t11?,13-,14?,15?,16?,17-,18-,22?,24?,25?,26+,27-/m0/s1"
1836,10-OBn-ginkgolide B,,Natural product,,,,,135652652,73755011,,,,10-OBn-GB,O=C1OC2C3([C@H]1OCc1ccccc1)C(CC1C43[C@@](O2)(C(=O)O1)[C@@]1([C@H](C4O)OC(=O)C1C)O)C(C)(C)C,PHJOWQWLQBFEEM-ZTPSGWAGSA-N,"InChI=1S/C27H30O10/c1-12-19(29)35-17-16(28)25-15-10-14(23(2,3)4)24(25)18(33-11-13-8-6-5-7-9-13)20(30)36-22(24)37-27(25,21(31)34-15)26(12,17)32/h5-9,12,14-18,22,28,32H,10-11H2,1-4H3/t12?,14?,15?,16?,17-,18-,22?,24?,25?,26+,27-/m0/s1"
1837,10-OBn-ginkgolide C,,Natural product,,,,,135652653,73755012,,,,10-OBn-GC,O=C1OC2C3([C@H]1OCc1ccccc1)C([C@H](C1C43[C@@](O2)(C(=O)O1)[C@@]1([C@H](C4O)OC(=O)C1C)O)O)C(C)(C)C,YPOMAFCMSAKBRX-WULOTIIESA-N,"InChI=1S/C27H30O11/c1-11-19(30)35-17-15(29)25-16-13(28)14(23(2,3)4)24(25)18(34-10-12-8-6-5-7-9-12)20(31)37-22(24)38-27(25,21(32)36-16)26(11,17)33/h5-9,11,13-18,22,28-29,33H,10H2,1-4H3/t11?,13-,14?,15?,16?,17+,18+,22?,24?,25?,26-,27+/m1/s1"
5482,1-1-1-trichloroethane,,Synthetic organic,,,,,178102129,6278,,"1,1,1-trichloroethane",,methylchloroform,CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3"
4484,11-dehydro-thromboxane B<sub>2</sub>,,Metabolite,,,,,135651596,5280891,,"(Z)-7-[(2R,3S,4S)-4-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-6-oxooxan-3-yl]hept-5-enoic acid",,11-dehydro-TXB2,CCCCC[C@@H](/C=C/[C@H]1OC(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O,KJYIVXDPWBUJBQ-UHHGALCXSA-N,"InChI=1S/C20H32O6/c1-2-3-6-9-15(21)12-13-18-16(17(22)14-20(25)26-18)10-7-4-5-8-11-19(23)24/h4,7,12-13,15-18,21-22H,2-3,5-6,8-11,14H2,1H3,(H,23,24)/b7-4-,13-12+/t15-,16-,17-,18+/m0/s1"
5100,11-deoxycortisol,,Metabolite,,,,,178101793,440707,,"(1S,2R,10R,11S,14R,15S)-14-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one",cortodoxone,11-deoxycortisone|cortexolone|cortodoxone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,WHBHBVVOGNECLV-OBQKJFGGSA-N,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1"
1925,11-deoxy-PGE<sub>1</sub>,,Metabolite,,,,,135651369,5283055,,"7-[(1R,2R)-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]heptanoic acid",,11-deoxy-PGE1|11-deoxyprostaglandin E1|doproston,CCCCC[C@@H](/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O)O,DPNOTBLPQOITGU-LDDQNKHRSA-N,"InChI=1S/C20H34O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h12,14,16-18,21H,2-11,13,15H2,1H3,(H,23,24)/b14-12+/t16-,17-,18+/m0/s1"
1945,11-deoxy-PGE<sub>2</sub>,,Synthetic organic,,,,,135649645,5283062,,"(Z)-7-[(1R,2R)-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid",,,CCCCC[C@@H](/C=C/[C@H]1CCC(=O)[C@@H]1C/C=C\CCCC(=O)O)O,CTHZICXYLKQMKI-FOSBLDSVSA-N,"InChI=1S/C20H32O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h4,7,12,14,16-18,21H,2-3,5-6,8-11,13,15H2,1H3,(H,23,24)/b7-4-,14-12+/t16-,17-,18+/m0/s1"
6669,11-<i>cis</i>-retinal,,Metabolite,,,,,178103281,5280490,,"(2E,4Z,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenal",,11-cis-retinal|11-cis-retinaldehyde|retinaldehyde,O=C/C=C(/C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)\C,NCYCYZXNIZJOKI-IOUUIBBYSA-N,"InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6-,12-11+,16-8+,17-13+"
6670,11-<i>cis</i>-retinol,,Metabolite,,,,,178103282,5280382,,"(2E,4Z,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraen-1-ol",,11-cis-retinol,OC/C=C(/C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)\C,FPIPGXGPPPQFEQ-IOUUIBBYSA-N,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6-,12-11+,16-8+,17-13+"
4701,"1,2,3-benzenetricarboxylic acid",,Synthetic organic,,,,,178101413,11288,,"benzene-1,2,3-tricarboxylic acid",,"1,2,3-benzenetricarboxylate",OC(=O)c1c(cccc1C(=O)O)C(=O)O,UJMDYLWCYJJYMO-UHFFFAOYSA-N,"InChI=1S/C9H6O6/c10-7(11)4-2-1-3-5(8(12)13)6(4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)"
2779,"1,25-dihydroxyvitamin D3",,Metabolite,yes,,,,135651370,5280453,,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol",calcitriol,Calcijex&reg;|calcitriol|Rocaltrol&reg;,O[C@H]1C[C@H](O)C(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](CCCC(O)(C)C)C)C)/C1,GMRQFYUYWCNGIN-NKMMMXOESA-N,"InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1"
4072,"(12E,20Z,18S)-8-hydroxyvariabilin",,Synthetic organic,,,,,178100895,54726845,,"(5Z)-5-[(2S,6E)-13-(furan-3-yl)-10-hydroxy-2,6,10-trimethyltridec-6-en-1-ylidene]-4-hydroxy-3-methyl-2,5-dihydrofuran-2-one",,,C/C(=C\CCC(CCCc1cocc1)(O)C)/CCC[C@@H](/C=C/1\OC(=O)C(=C1O)C)C,QFBUNOKEKXMSCV-UYYPKTQPSA-N,"InChI=1S/C25H36O5/c1-18(8-5-9-19(2)16-22-23(26)20(3)24(27)30-22)10-6-13-25(4,28)14-7-11-21-12-15-29-17-21/h10,12,15-17,19,26,28H,5-9,11,13-14H2,1-4H3/b18-10+,22-16-/t19-,25?/m0/s1"
6160,12-epi LTB<sub>4</sub>,,Metabolite,,,,,178102781,5283130,,"(5S,6Z,8E,10E,12S,14Z)-5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid",,12(S)-Leukotriene B4,CCCCC/C=C\C[C@@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O,VNYSSYRCGWBHLG-CBBLYLIKSA-N,"InChI=1S/C20H32O4/c1-2-3-4-5-6-9-13-18(21)14-10-7-8-11-15-19(22)16-12-17-20(23)24/h6-11,14-15,18-19,21-22H,2-5,12-13,16-17H2,1H3,(H,23,24)/b8-7+,9-6-,14-10+,15-11-/t18-,19+/m0/s1"
6159,12-hydroxyheptadecatrienoic acid,,Metabolite,,,,,178102780,5283141,,"(5Z,8E,10E,12S)-12-hydroxyheptadeca-5,8,10-trienoic acid",,12-HHT|12S-HHTrE,CCCCC[C@@H](/C=C/C=C/C/C=C\CCCC(=O)O)O,KUKJHGXXZWHSBG-WBGSEQOASA-N,"InChI=1S/C17H28O3/c1-2-3-10-13-16(18)14-11-8-6-4-5-7-9-12-15-17(19)20/h5-8,11,14,16,18H,2-4,9-10,12-13,15H2,1H3,(H,19,20)/b7-5-,8-6+,14-11+/t16-/m0/s1"
6922,12-hydroxylauric acid,,Metabolite,,,,,178103504,79034,,12-Hydroxydodecanoic acid,,,OCCCCCCCCCCCC(=O)O,ZDHCZVWCTKTBRY-UHFFFAOYSA-N,"InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)"
3405,12R-HETE,,Metabolite,,,,,135651371,5283156,,"(5Z,8Z,10E,12R,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid",,12r-HETE,CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)O)O,ZNHVWPKMFKADKW-ZYBDYUKJSA-N,"InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7-,11-8-,13-10-,17-14+/t19-/m1/s1"
5101,12R-HPETE,,Metabolite,,,,,178101794,9548885,,"(5Z,8Z,10E,12R,14Z)-12-hydroperoxyicosa-5,8,10,14-tetraenoic acid",,12(R)-HPETE,CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO,ZIOZYRSDNLNNNJ-ZYBDYUKJSA-N,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/b9-7-,11-8-,13-10-,17-14+/t19-/m1/s1"
3404,12S-HETE,,Metabolite,,,,,135651372,5283155,,"(5Z,8Z,10E,12S,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid",,12(S)-hydroxyeicosatetraenoic acid,CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)O,ZNHVWPKMFKADKW-LQWMCKPYSA-N,"InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7-,11-8-,13-10-,17-14+/t19-/m0/s1"
2481,12S-HPETE,,Metabolite,,,,,53800990,5280892,,"(5Z,8Z,10E,12S,14Z)-12-hydroperoxyicosa-5,8,10,14-tetraenoic acid",,12-(S)-HPETE|12-(S)-hydroperoxyeicosatetraenoic acid,CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO,ZIOZYRSDNLNNNJ-LQWMCKPYSA-N,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/b9-7-,11-8-,13-10-,17-14+/t19-/m0/s1"
5508,12S-[<sup>3</sup>H]HETE,,Metabolite,,,yes,yes,178102154,,,"(5Z,8Z,10E,12S,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid",,,CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)O,ZNHVWPKMFKADKW-LQWMCKPYSA-N,"InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7-,11-8-,13-10-,17-14+/t19-/m0/s1"
1900,"13,14-dihydro-15-keto-PGD<sub>2</sub>",,Synthetic organic,,,,,135649648,5283036,,"(Z)-7-[(1R,2R,5S)-5-hydroxy-3-oxo-2-(3-oxooctyl)cyclopentyl]hept-5-enoic acid",,"13,14-dihydro-15-keto-prostaglandin D2|13,14-dihydro-15-ketoprostaglandin D2|13,14-dihydro-15-oxo PGD2|DK-PGD<sub>2</sub>",CCCCCC(=O)CC[C@H]1C(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O,VSRXYLYXIXYEST-KZTWKYQFSA-N,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,16-18,22H,2-3,5-6,8-14H2,1H3,(H,24,25)/b7-4-/t16-,17-,18+/m1/s1"
1901,"13,14-dihydro-15-keto-PGF<sub>2&alpha;</sub>",,Metabolite,,,,,135651373,5283039,,"(Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-(3-oxooctyl)cyclopentyl]hept-5-enoic acid",,Dhk-pgf2alpha,CCCCCC(=O)CC[C@H]1[C@H](O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O,VKTIONYPMSCHQI-XAGFEHLVSA-N,"InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,16-19,22-23H,2-3,5-6,8-14H2,1H3,(H,24,25)/b7-4-/t16-,17-,18+,19-/m1/s1"
1955,"13,14-dihydro-16-<i>m</i>-chlorophenoxy-<i>w</i>-tetranor-PGF<sub>1&alpha;</sub>",,Synthetic organic,,,,,135649649,5311240,,"7-[(1R,2R,3R,5S)-2-[(3R)-4-(3-chlorophenoxy)-3-hydroxybutyl]-3,5-dihydroxycyclopentyl]heptanoic acid",,,O[C@@H](COc1cccc(c1)Cl)CC[C@H]1[C@H](O)C[C@@H]([C@@H]1CCCCCCC(=O)O)O,XECZBZWECQIBDA-LELZANKISA-N,"InChI=1S/C22H33ClO6/c23-15-6-5-7-17(12-15)29-14-16(24)10-11-19-18(20(25)13-21(19)26)8-3-1-2-4-9-22(27)28/h5-7,12,16,18-21,24-26H,1-4,8-11,13-14H2,(H,27,28)/t16-,18-,19-,20+,21-/m1/s1"
