Drug	ATC_ClassID	ATC_ClassName	EPC_ClassID	EPC_ClassName	MOA_ClassID	MOA_ClassName
Goserelin Acetate	L02AE	Gonadotropin releasing hormone analogues	null	null	null	null
Venetoclax	null	null	null	null	null	null
Abiraterone Acetate	L02BX	Other hormone antagonists and related agents	N0000182633	Cytochrome P450 17A1 Inhibitor	N0000187062	Cytochrome P450 2C8 Inhibitors
Idelalisib	L01XX	Other antineoplastic agents	N0000175605	Kinase Inhibitor	N0000190114	Cytochrome P450 3A Inhibitors
Carfilzomib	L01XX	Other antineoplastic agents	N0000175604	Proteasome Inhibitor	N0000175075	Proteasome Inhibitors
Pamidronate Disodium	null	null	N0000175579	Bisphosphonate	null	null
Idarubicin Hydrochloride	L01DB	Anthracyclines and related substances	N0000175414	Anthracycline Topoisomerase Inhibitor	N0000000176	Topoisomerase Inhibitors
Temsirolimus	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Axitinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000020000	Receptor Tyrosine Kinase Inhibitors
Crizotinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000191265	Organic Cation Transporter 1 Inhibitors
Ondansetron Hydrochloride	A04AA	Serotonin (5HT3) antagonists	N0000175818	Serotonin-3 Receptor Antagonist	N0000175817	Serotonin 3 Receptor Antagonists
Carmustine	L01AD	Nitrosoureas	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Ziv-Aflibercept	S01LA	Antineovascularisation agents	null	null	null	null
Talc	null	null	null	null	null	null
Megestrol Acetate	L02AB	Progestogens	N0000175602	Progestin	null	null
Melphalan	L01AA	Nitrogen mustard analogues	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Ixazomib Citrate	L01XX	Other antineoplastic agents	N0000175604	Proteasome Inhibitor	N0000175075	Proteasome Inhibitors
Docetaxel	L01CD	Taxanes	N0000175592	Microtubule Inhibitor	null	null
Trametinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Aminolevulinic Acid	L01XD	Sensitizers used in photodynamic/radiation therapy	N0000175846	Porphyrin Precursor	null	null
Ifosfamide	L01AA	Nitrogen mustard analogues	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Palifermin	V03AF	Detoxifying agents for antineoplastic treatment	N0000175671	Mucocutaneous Epithelial Cell Growth Factor	null	null
