Parent_Drug	DrugPanel_Name	Synonym
	17-AAG	17AAG
	17-AAG	17 AAG
	17-AAG	Tanespimycin
	17-AAG	17-N-allylamino-17-demethoxygeldanamycin
	A-674563	A674563
	A-674563	5-(5-((2S)-2-AMINO-3-PHENYLPROPOXY)PYRIDIN-3-YL)-3-METHYL-1H-INDAZOLE
	A-674563	"BENZENEETHANAMINE, .ALPHA.-(((5-(3-METHYL-1H-INDAZOL-5-YL)-3-PYRIDINYL)OXY)METHYL)-, (.ALPHA.S)-"
	AKT Inhibitor X	
	AST-487	AST 487
	AST-487	630124-46-8
	AST-487	AST-487
	AST-487	NVP-AST487
	AST-487	AST487
	AST-487	UNII-W34UO2M4T6
	AST-487	W34UO2M4T6
	AST-487	1-(4-((4-Ethylpiperazin-1-yl)methyl)-3-(trifluoromethyl)phenyl)-3-(4-((6-(methylamino)pyrimidin-4-yl)oxy)phenyl)urea
	AST-487	1-[4-[(4-ethylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl]-3-[4-[6-(methylamino)pyrimidin-4-yl]oxyphenyl]urea
	AST-487	C26H30F3N7O2
	AST-487	N-[4-[(4-Ethyl-1-piperazinyl)methyl]-3-(trifluoromethyl)phenyl]-N'-[4-[[6-(methylamino)-4-pyrimidinyl]oxy]phenyl]urea
	AST-487	NVP-AST 487
	AST-487	NVP-AST-487
	AST-487	Kinome_3855
	AST-487	cc-640
	AST-487	AST-48
	AST-487	CHEMBL574738
	AST-487	GTPL5661
	AST-487	SCHEMBL1684259
	AST-487	BDBM31085
	AST-487	AST-487/AST487
	AST-487	DTXSID70212239
	AST-487	SYN1210
	AST-487	cid_11409972
	AST-487	BCP21589
	AST-487	EX-A1374
	AST-487	3455AH
	AST-487	s6662
	AST-487	ZB1589
	AST-487	ZINC23247639
	AST-487	AST-487 (NVP-AST487)
	AST-487	CS-0779
	AST-487	NCGC00354729-03
	AST-487	HY-15002
	AST-487	"Urea, N-(4-((4-ethyl-1-piperazinyl)methyl)-3-(trifluoromethyl)phenyl)-N'-(4-((6-(methylamino)-4-pyrimidinyl)oxy)phenyl)-"
	AST-487	EC-000.2120
	AST-487	A15003
	AST-487	W-5519
	AST-487	J-519601
	AST-487	Q27074554
	AST-487	1-[4-[(4-ethyl-1-piperazinyl)methyl]-3-(trifluoromethyl)phenyl]-3-[4-[[6-(methylamino)-4-pyrimidinyl]oxy]phenyl]urea
	AST-487	1-[4-[(4-ethylpiperazino)methyl]-3-(trifluoromethyl)phenyl]-3-[4-[6-(methylamino)pyrimidin-4-yl]oxyphenyl]urea
	AST-487	3-{4-[(4-ethylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl}-1-(4-{[6-(methylamino)pyrimidin-4-yl]oxy}phenyl)urea
	AT-101	AT101
	AT-101	AT 101
	AT-101	(R)-(-)-Gossypol;R-(-)-gossypol acetic acid
	AT-101	gossypol enantiomer
	AT-101	gossypol
	AZD1152-HQPA	"

Barasertib"
	AZD1152-HQPA	AZD1152HQPA
	AZD1152-HQPA	AZD1152 HQPA
	AZD1152-HQPA	AZD2811
	Baiclein	Baicalein
	Baiclein	"5,6,7-trihydroxyflavone"
	Bay 11-7085	Bay117085
	Bay 11-7085	Bay 11 7085
	Bay 11-7085	(E)-3-(4-t-Butylphenylsulfonyl)-2-propenenitrile
	BMS-345541	BMS345541
	CHIR-99021	CT99021
	CHIR-99021	CHIR99021
	CHIR-99021	CHIR 99021
	CHIR-99021	"6-((2-((4-(2,4-Dichlorophenyl)-5-(4-methyl-1H-imidazol-2-yl)pyrimidin-2-yl)amino)ethyl)amino)nicotinonitrile"
	DBZ	Dibenzazepine
	DBZ	YO-01027
	Doramapimod	BIRB 796
	Etomoxir	2[6(4-chlorophenoxy)hexyl]oxirane-2-carboxylate
	Etomoxir	Ethyl 2-[6-(4-chlorophenoxy)hexyl]oxirane-2-carboxylate
	F_S_V	
	GDC-0879	GDC0879
	GDC-0879	GDC 0879
	GDC-0879	AR-00341677
	GDC-0879	AR 00341677
	Go6976	Goe 6976
	Go6976	PD 406976
	Go6976	"5,6,7,13-Tetrahydro-13-methyl-5-oxo-12H-indolo[2,3-a]pyrrolo[3,4-c]carbazole-12-propanenitrile"
	GSK-1838705A	"
BENZAMIDE, 2-((2-((1-(2-(DIMETHYLAMINO)ACETYL)-5-METHOXY-1H-INDOL-6-YL)AMINO)-7H-PYRROLO(2,3-D)PYRIMIDIN-4-YL)AMINO)-6-FLUORO-N-METHYL-"
	GSK-1904529A	GSK 4529
	GSK-1904529A	"N-(2,6-Difluorophenyl)-5-[3-[2-[[5-ethyl-2-(methyloxy)-4-[4-[4-(methylsulfonyl)-1-piperazinyl]-1-piperidinyl]phenyl]amino]-4-pyrimidinyl]imidazo[1,2-a]pyridin-2-yl]-2-(methyloxy)benzamide"
	GW-2580	GW 2580
	GW-2580	GW2580
	JAK Inhibitor I	
	JNJ-28312141	JNJ-28312141
	JNJ-28312141	885692-52-4
	JNJ-28312141	JNJ-28312141 free base
	JNJ-28312141	"4-cyano-N-(5-(1-(2-(dimethylamino)acetyl)piperidin-4-yl)-2',3',4',5'-tetrahydro-[1,1'-biphenyl]-2-yl)-1H-imidazole-2-carboxamide"
	JNJ-28312141	UNII-YKQ241VJ92
	JNJ-28312141	YKQ241VJ92
	JNJ-28312141	CHEMBL1908842
	JNJ-28312141	1149939-55-8 (free base)
	JNJ-7706621	"
1H-1,2,4-TRIAZOLE-3,5-DIAMINE, N3-(4-(AMINOSULFONYL)PHENYL)-1-(2,6-DIFLUOROBENZOYL)- 4-((5-AMINO-1-(2,6-DIFLUOROBENZOYL)-1H-(1,2,4)TRIAZOL-3-YL)AMINO)BENZENESULFONAMIDE"
	JNJ-7706621	"
JNJ-770662"
	JNJ-7706621	"
AURORA KINASE/CDK INHIBITOR"
	JNJ-7706621	"
BENZENESULFONAMIDE, 4-((5-AMINO-1-(2,6-DIFLUOROBENZOYL)-1H-1,2,4-TRIAZOL-3-YL)AMINO)-"
	JQ1	 +-JQ1
	KI20227	"N-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]-2-methoxyphenyl]-N'-[1-(2-thiazolyl)ethyl]-urea"
	KU-55933	KU55933
	LY-333531	"
Ruboxistaurin"
	Masitinib	Masivet
	Masitinib	Kinavet
	MEK1/2 Inhibitor	
	Metformin	Glucophage
	Metformin	Fortamet
	Metformin	Glumetza
	Metformin	Riomet
	MLN120B	ML120B
	NF-kB Activation Inhibitor	
	NVP-ADW742	NVPADW742
	NVP-ADW742	"5-[3-(phenylmethoxy)phenyl]-7-[trans-3-(1-pyrrolidinylmethyl)cyclobutyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine"
	NVP-ADW742	ADW742
	NVP-ADW742	GSK552602A
	NVP-AEW541	AEW541
	PD153035	SU-5271 Hcl
	PD153035	PD153035 Hcl
	PD153035	SU-5271
	PD153035	AG1517 Hcl
	PD153035	AG1517
	PD153035	ZM 252868 HCl
	PD153035	ZM 252868
	PD173955	
	PD98059	
Perhexiline	Perhexiline maleate	"2-(2,2-Dicyclohexylethyl)piperidine"
Perhexiline	Perhexiline maleate	Perhexiline maleate salt
Perhexiline 	Perhexiline maleate	Perhexiline maleate Hcl
	PH-797804	PH797804
	PHA-665752	PHA665752
	PHT-427	"4-dodecyl-N-(1,3,4-thiadiazol-2-yl)benzenesulfonamide"
	PHT-427	PHT427
	PI-103	PI-103
	PI-103	371935-74-9
	PI-103	"3-(4-morpholinopyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
	PI-103	PI103
	PI-103	UNII-YQX02F616F
	PI-103	PI 103
	PI-103	"Phenol, 3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]-"
	PI-103	PIK-103
	PI-103	YQX02F616F
	PI-103	CHEBI:90524
	PI-103	"3-[4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"
	PI-103	371935-74-9 (free base)
	PI-103	PI-103 hydrobromide
	PI-103	"3-(4-morpholin-4-ylpyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"
	PI-103	"3-(4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
	PI-103	"3-(4-Morpholin-4-Ylpyrido[3',2':4,5]furo[3,2-D]pyrimidin-2-Yl)phenol"
	PI-103	"Phenol, 3-(4-(4-morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)-"
	PI-103	X6K
	PI-103	PI 103 hydrobromide
	PI-103	Kinome_3597
	PI-103	2x6k
	PI-103	cc-5
	PI-103	"mTOR Inhibitor, PI103"
	PI-103	MLS006010988
	PI-103	SCHEMBL258242
	PI-103	CHEMBL573339
	PI-103	GTPL5701
	PI-103	BDBM25045
	PI-103	cid_9884685
	PI-103	CTK8F1083
	PI-103	KS-00000HCH
	PI-103	DTXSID40190676
	PI-103	EX-A039
	PI-103	PIK 103
	PI-103	QCR-256
	PI-103	SYN1065
	PI-103	4l23
	PI-103	"pyridofuropyrimidine derivative, 2"
	PI-103	BCPP000107
	PI-103	HMS3229C15
	PI-103	HMS3244E11
	PI-103	HMS3244E12
	PI-103	HMS3244F11
	PI-103	HMS3295E19
	PI-103	HMS3650M10
	PI-103	HMS3654E09
	PI-103	BCP01923
	PI-103	BCP19373
	PI-103	ZINC3963016
	PI-103	MFCD11983145
	PI-103	s1038
	PI-103	AKOS024462563
	PI-103	CCG-101301
	PI-103	compound 2 [PMID: 17601739]
	PI-103	CS-0127
	PI-103	"3-(4-(4-Morpholinyl)pyrido[3&prime;,2&prime;:4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
	PI-103	NCGC00187906-01
	PI-103	NCGC00187906-02
	PI-103	NCGC00187906-03
	PI-103	NCGC00187906-15
	PI-103	"3-(6-morpholin-4-yl-8-oxa-3,5,10-triazatricyclo[7.4.0.02,7]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl)phenol"
	PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(13),2,4,6,9,11-hexaen-4-yl]phenol"
	PI-103	AK163162
	PI-103	AS-16221
	PI-103	HY-10115
	PI-103	SMR002530603
