7-oxo K252a	
A-674563	A-674563
A-674563	552325-73-2
A-674563	A674563
A-674563	A 674563
A-674563	(S)-1-(5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxy)-3-phenylpropan-2-amine
A-674563	UNII-3W2X0WGW6C
A-674563	3W2X0WGW6C
A-674563	5-{5-[(2S)-2-amino-3-phenylpropoxy]pyridin-3-yl}-3-methyl-1H-indazole
A-674563	(2s)-1-{[5-(3-Methyl-1h-Indazol-5-Yl)pyridin-3-Yl]oxy}-3-Phenylpropan-2-Amine
A-674563	(S)-1-((5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yl)oxy)-3-phenylpropan-2-amine
A-674563	(2S)-1-[5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yl]oxy-3-phenylpropan-2-amine
A-674563	(alphaS)-alpha-(((5-(3-Methyl-1H-indazol-5-yl)-3-pyridinyl)oxy)methyl)benzeneethanamine
A-674563	5-(5-((2S)-2-Amino-3-phenylpropoxy)pyridin-3-yl)-3-methyl-1H-indazole
A-674563	"indazole-pyridine, 7"
A-674563	5-indazolyl pyridine 11g
A-674563	cc-293
A-674563	MLS006011000
A-674563	CHEMBL379218
A-674563	GTPL5655
A-674563	SCHEMBL2191602
A-674563	SCHEMBL19031303
A-674563	BDBM15138
A-674563	DTXSID10462115
A-674563	EX-A023
A-674563	(2S)-1-[5-(3-methyl-2H-indazol-5-yl)pyridin-3-yl]oxy-3-phenylpropan-2-amine
A-674563	BCP02557
A-674563	Biochemistry 469551 Compound 11
A-674563	MFCD11840461
A-674563	s2670
A-674563	ZINC16052569
A-674563	AKOS032947302
A-674563	BCP9000207
A-674563	CCG-268139
A-674563	CS-0486
A-674563	DB08568
A-674563	QC-7249
A-674563	SB19265
A-674563	NCGC00263147-01
A-674563	NCGC00263147-05
A-674563	HY-13254
A-674563	SMR004702798
A-674563	a-74563
A-674563	SW219834-1
A-674563	X7452
A-674563	W-5491
A-674563	Q27074076
A-674563	"Benzeneethanamine, alpha-(((5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl)oxy)methyl)-, (alphaS)-"
A-674563	SS3
APTO-253	LOR-253
APTO-253	LT-253
BMX-IN-1	BMX kinase inhibitor
BS-181	BS-181
BS-181	1092443-52-1
BS-181	UNII-75M620LLBN
BS-181	"5-N-(6-aminohexyl)-7-N-benzyl-3-propan-2-ylpyrazolo[1,5-a]pyrimidine-5,7-diamine"
BS-181	75M620LLBN
BS-181	CHEMBL1801932
BS-181	"N5-(6-aminohexyl)-N7-benzyl-3-isopropylpyrazolo[1,5-a]pyrimidine-5,7-diamine"
BS-181	C22H32N6
BS-181	BS 181
BS-181	"N5-(6-Aminohexyl)-3-isopropyl-N7-benzylpyrazolo[1,5-a]pyrimidine-5,7-diamine"
BS-181	BS-181 free base
BS-181	GTPL9405
BS-181	SCHEMBL10123390
BS-181	CHEBI:95059
BS-181	EX-A585
BS-181	HMS3744E07
BS-181	BCP02853
BS-181	3510AH
BS-181	BDBM50347389
BS-181	BS 181;BS181
BS-181	MFCD22056527
BS-181	ZINC43207770
BS-181	AKOS026750277
BS-181	CS-0490
BS-181	NCGC00346553-01
BS-181	HY-13266
BS-181	"Pyrazolo(1,5-a)pyrimidine-5,7-diamine, N5-(6-aminohexyl)-3-(1-methylethyl)-N7-(phenylmethyl)-"
BS-181	W-5855
BS-181	J-523430
BS-181	Q27166830
BS-181	"N5-(6-aminohexyl)-3-(1-methylethyl)-N7-(phenylmethyl)pyrazolo[1,5-a]pyrimidine-5,7-diamine"
Crenigacestat	LY3039478
DMSO	
F-S-V	
Ginsenoside Rb2	Ginsenoside-Rb2
Ginsenoside Rb2	11021-13-9
Ginsenoside Rb2	NSC308878
Ginsenoside Rb2	DTXSID00911541
Ginsenoside Rb2	NSC-308878
Ginsenoside Rb2	DB-050178
Ginsenoside Rb2	FT-0626701
Ginsenoside Rb2	12-Hydroxy-20-[(6-O-pentopyranosylhexopyranosyl)oxy]dammar-24-en-3-yl 2-O-hexopyranosylhexopyranoside
GSK-1838705A	GSK-1838705
GSK-1838705A	GSK1838705A
GSK-1838705A	1116235-97-2
GSK-1838705A	GSK-1838705A
GSK-1838705A	GSK 1838705A
GSK-1838705A	GSK1838705
GSK-1838705A	"2-((2-((1-(2-(Dimethylamino)acetyl)-5-methoxyindolin-6-yl)amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-6-fluoro-N-methylbenzamide"
GSK-1838705A	GSK 1838705
GSK-1838705A	"2-(2-(1-(2-(dimethylamino)acetyl)-5-methoxyindolin-6-ylamino)-7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-[[2-[[1-[2-(dimethylamino)acetyl]-5-methoxy-2,3-dihydroindol-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-{[2-({1-[2-(dimethylamino)acetyl]-5-methoxy-2,3-dihydro-1H-indol-6-yl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-[[2-[[1-[(Dimethylamino)ethanoyl]-5-(methyloxy)-2,3-dihydro-1H-indol-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methylbenzamide"
GSK-1838705A	cc-268
GSK-1838705A	MLS006010967
GSK-1838705A	CHEMBL464552
GSK-1838705A	GTPL5683
GSK-1838705A	SCHEMBL2205605
GSK-1838705A	SCHEMBL12428872
GSK-1838705A	BDBM27817
GSK-1838705A	C27H29FN8O3
GSK-1838705A	CHEBI:93768
GSK-1838705A	AOB5716
GSK-1838705A	DTXSID50648971
GSK-1838705A	EX-A301
GSK-1838705A	HMS3656L15
GSK-1838705A	BCP02847
GSK-1838705A	KS-00001D3M
GSK-1838705A	MFCD19443644
GSK-1838705A	s2703
GSK-1838705A	ZINC43202844
GSK-1838705A	AKOS024458500
GSK-1838705A	AKOS025149101
GSK-1838705A	BCP9000736
GSK-1838705A	CCG-269927
GSK-1838705A	CS-0695
GSK-1838705A	"pyrrolo[2,3-d]pyrimidine deriv., 40"
GSK-1838705A	SB19386
GSK-1838705A	NCGC00346647-01
GSK-1838705A	NCGC00346647-09
GSK-1838705A	NCGC00346647-15
GSK-1838705A	"2-((2-((1-(dimethylglycyl)-5-methoxyindolin-6-yl)amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-6-fluoro-N-methylbenzamide"
GSK-1838705A	AS-16914
GSK-1838705A	HY-13020
GSK-1838705A	SMR004702771
GSK-1838705A	SW220189-1
GSK-1838705A	X7516
GSK-1838705A	GSK 1838705A;GSK-1838705A
GSK-1838705A	W-5812
GSK-1838705A	J-505193
GSK-1838705A	Q27077879
GSK-1838705A	"2-((2-((1-((Dimethylamino)ethanoyl)-5-(methyloxy)-2,3-dihydro-1h-indol-6-yl)amino)-7h-pyrrolo(2,3-d)pyrimidin-4-yl)amino)-6-fluoro-n -methylbenzamide"
GSK-1838705A	"2-[(2-{[1-(N,N-dimethylglycyl)-5-(methyloxy)-2,3-dihydro-1H-indol-6-yl]amino}-1H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-[(2-{[1-(N,N-Dimethylglycyl)-5-methoxy-2,3-dihydro-1H-indol-6-yl]amino}-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-[[2-[[1-[2-(Dimethylamino)acetyl]-2,3-dihydro-5-methoxy-1H-indol-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methylbenzamide"
GSK-1838705A	"2-((2-((1-(2-(Dimethylamino)acetyl)-5-methoxyindolin-6-yl)amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)-6-fluoro-N-methylbenzamide"
IMR 1	2-[2-Methoxy-4-[(4-oxo-2-thioxo-5-thiazolidinylidene)methyl]phenoxy]-acetic acid ethyl ester
IMR 1	Inhibitor of Mastermind Recruitment-1
Ixabepolone	Ixabepilone
Ixabepolone	219989-84-1
Ixabepolone	Azaepothilone B
Ixabepolone	Ixempra
Ixabepolone	BMS-247550
Ixabepolone	Aza-epothilone B
Ixabepolone	BMS 247550-1
Ixabepolone	UNII-K27005NP0A
Ixabepolone	CHEBI:63605
Ixabepolone	K27005NP0A
Ixabepolone	NSC747973
Ixabepolone	BMS 247550-01
Ixabepolone	BMS-247550-01
Ixabepolone	"(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-((Z)-1-(2-methylthiazol-4-yl)prop-1-en-2-yl)-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione"
Ixabepolone	"17-oxa-4-azabicyclo(14.1.0)heptadecane-5,9-dione, 7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-((1E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl)-, (1S,3S,7S,10R,11S,12S,16R)-"
Ixabepolone	"1S,3S,7S,10R,11S,12S,16R)-7,11-Dihydroxy-8,8,10,12,16-pentamethyl-3-((1E)-1-methyl-2-(2-methylthiazol-4-yl)ethenyl)-17-oxa-4-azabicyclo(14.1.0)heptadecane-5,9-dione"
Ixabepolone	Ixempra (TN)
Ixabepolone	Ixabepilone [INN]
Ixabepolone	Ixempra kit
Ixabepolone	Ixempra (TM)
Ixabepolone	16-Aza-epothilone B
Ixabepolone	SCHEMBL8386
Ixabepolone	Ixabepilone (JAN/USAN/INN)
Ixabepolone	Ixabepilone [USAN:INN:JAN]
Ixabepolone	GTPL6824
Ixabepolone	SCHEMBL1890345
Ixabepolone	Ixabepilone (BMS-247550)
Ixabepolone	CHEMBL1201752
Ixabepolone	CHEBI:95095
Ixabepolone	HSDB 7738
Ixabepolone	DTXSID70870252
Ixabepolone	EX-A1245
Ixabepolone	ZINC3993846
Ixabepolone	MFCD04307791
Ixabepolone	s7930
Ixabepolone	AKOS025401600
Ixabepolone	CCG-269752
Ixabepolone	CS-0551
Ixabepolone	DB04845
Ixabepolone	NSC-710428
Ixabepolone	NSC-747973
Ixabepolone	BMS 247550 (Epothilone B analogue)
Ixabepolone	NCGC00378665-02
Ixabepolone	"(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-[(1E)-1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione"
Ixabepolone	AC-22618
Ixabepolone	HY-10222
Ixabepolone	LS-98543
Ixabepolone	QC-11860
Ixabepolone	SC-81824
Ixabepolone	X7258
Ixabepolone	A11449
Ixabepolone	D04645
Ixabepolone	W-5316
Ixabepolone	49309-EP2295426A1
Ixabepolone	49309-EP2295427A1
Ixabepolone	49309-EP2298768A1
Ixabepolone	49309-EP2311840A1
Ixabepolone	AB01273979-01
Ixabepolone	989I841
Ixabepolone	Azaepothilone B;BMS 247550;BMS 247550-1
Ixabepolone	SR-01000941577
Ixabepolone	J-014409
Ixabepolone	SR-01000941577-1
Ixabepolone	Q11711607
Ixabepolone	"(1R,5S,6S,7R,10S,14S,16S)-6,10-dihydroxy-1,5,7,9,9-pentamethyl-14-[(E)-1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl]-17-oxa-13-azabicyclo[14.1.0]heptadecane-8,12-dione"
Ixabepolone	"(1r,5s,6s,7r,10s,14s,16s)-6,10-dihydroxy-1,5,7,9,9-pentamethyl-14-[[e]-1-(2-methyl-1,3-thiazol-4-yl]prop-1-en-2-yl)-17-oxa-13-azabicyclo(14,1,0)heptadecane-8,12-dione"
Ixabepolone	"7-Oxa-4-azabicyclo[14.1.0]heptadecane -5, 7,11-dihydroxy-8,8,10,12,16-pentamethyl-3-[(1E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl]-, (1S,3S,7S,10R,11S,12S,16R)-"
Ixabepolone	Ixempra
JNJ-28312141	JNJ-28312141
JNJ-28312141	885692-52-4
JNJ-28312141	JNJ-28312141 free base
JNJ-28312141	"4-cyano-N-(5-(1-(2-(dimethylamino)acetyl)piperidin-4-yl)-2',3',4',5'-tetrahydro-[1,1'-biphenyl]-2-yl)-1H-imidazole-2-carboxamide"
JNJ-28312141	UNII-YKQ241VJ92
JNJ-28312141	YKQ241VJ92
JNJ-28312141	CHEMBL1908842
JNJ-28312141	1149939-55-8 (free base)
JNJ-28312141	5-cyano-N-[2-(cyclohexen-1-yl)-4-[1-[2-(dimethylamino)acetyl]piperidin-4-yl]phenyl]-1H-imidazole-2-carboxamide
JNJ-28312141	C26H32N6O2
JNJ-28312141	CHEMBL1908395
JNJ-28312141	JNJ 28312141
JNJ-28312141	4-Cyano-1H-imidazole-2-carboxylic acid {2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl]-amide
JNJ-28312141	4-Cyano-1H-imidazole-2-carboxylic acid {2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl}-amide
JNJ-28312141	JNJ28312141
JNJ-28312141	GTPL5689
JNJ-28312141	SCHEMBL4981038
JNJ-28312141	SCHEMBL20484783
JNJ-28312141	DTXSID70237129
JNJ-28312141	SYN1154
JNJ-28312141	BCP28018
JNJ-28312141	BDBM50355499
JNJ-28312141	ZINC38226716
JNJ-28312141	NCGC00345853-01
JNJ-28312141	NCGC00345853-02
JNJ-28312141	"1H-Imidazole-2-carboxamide, 5-cyano-n-(2-(1-cyclohexen-1-yl)-4-(1-(2-(dimethylamino)acetyl)-4-piperidinyl)phenyl)-"
JNJ-28312141	JNJ28312141; JNJ 28312141
JNJ-28312141	Q27887253
JNJ-28312141	4-cyano-1h-imidazole-2-carboxylic acid{2-cyclohex-1-enyl-4-[1-(2-dimethylamino-acetyl)-piperidin-4-yl]-phenyl}-amide
