Drug	Approval_Date	ATC_ClassID	ATC_ClassName	ATC_ClassStatus	EPC_ClassID	EPC_ClassName
Vemurafenib	2011-08-17	L01XE	Protein kinase inhibitors	Approved	N0000175605	Kinase Inhibitor
Dexrazoxane Hydrochloride	1995-05-26	V03AF	Detoxifying agents for antineoplastic treatment	Approved	N0000180854	Cytoprotective Agent
Elotuzumab	2015-11-30	L01XC	Monoclonal antibodies	Pending	N0000192338	SLAMF7-directed Immunostimulatory Antibody
Ixabepilone	2007-10-16	L01DC	Other cytotoxic antibiotics	Approved	N0000175592	Microtubule Inhibitor
Cisplatin	1978-12-19	L01XA	Platinum compounds	Approved	N0000175413	Platinum-based Drug
Lapatinib Ditosylate	2007-03-13	L01XE	Protein kinase inhibitors	Approved	N0000175605	Kinase Inhibitor
Carfilzomib	2012-07-20	L01XX	Other antineoplastic agents	Approved	N0000175604	Proteasome Inhibitor
Brentuximab Vedotin	2011-08-19	L01XC	Monoclonal antibodies	Approved	N0000182967	CD30-directed Immunoconjugate
Vismodegib	2012-01-30	L01XX	Other antineoplastic agents	Approved	N0000184149	Hedgehog Pathway Inhibitor
Talimogene Laherparepvec	null	L01XX	Other antineoplastic agents	Pending	null	null
Daratumumab	2015-11-16	L01XC	Monoclonal antibodies	Pending	N0000192336	CD38-directed Cytolytic Antibody
Temsirolimus	2007-05-30	L01XE	Protein kinase inhibitors	Approved	N0000175605	Kinase Inhibitor
Ponatinib Hydrochloride	2012-12-14	L01XE	Protein kinase inhibitors	Approved	N0000175605	Kinase Inhibitor
Leucovorin Calcium	1952-06-20	V03AF	Detoxifying agents for antineoplastic treatment	Approved	N0000178369	Folate Analog
Pegaspargase	1994-02-01	L01XX	Other antineoplastic agents	Approved	N0000175669	Asparagine-specific Enzyme
Trastuzumab	1998-09-25	L01XC	Monoclonal antibodies	Approved	N0000175661	HER2 Receptor Antagonist
Idelalisib	2014-07-23	L01XX	Other antineoplastic agents	Approved	N0000175605	Kinase Inhibitor
Plerixafor	2008-12-15	L03AX	Other immunostimulants	Approved	N0000178326	Hematopoietic Stem Cell Mobilizer
Methotrexate	1959-08-10	L04AX	Other immunosuppressants	Approved	N0000175584	Folate Analog Metabolic Inhibitor
Raloxifene Hydrochloride	1997-12-09	G03XC	Selective estrogen receptor modulators	Approved	N0000175826	Estrogen Agonist/Antagonist
Cabazitaxel	2010-06-17	L01CD	Taxanes	Approved	N0000175592	Microtubule Inhibitor
Recombinant Interferon Alfa-2b	1986-06-04	null	null	null	null	null
Nilotinib	2007-10-29	L01XE	Protein kinase inhibitors	Approved	N0000175605	Kinase Inhibitor
