Drug	Synonym	
Thalidomide	(-)-Thalidomide	
Thalidomide	(+)-Thalidomide	
Thalidomide	N-Phthaloylglutamimide	
Thalidomide	Kevadon	
Thalidomide	2, 6-Dioxo-3-phthalimidopiperidine	
Thalidomide	thalidomide	
Thalidomide	N-(2,6-Dioxo-3-piperidyl)phthalimide	
Thalidomide	N-Phthalylglutamic Acid Imide	
Thalidomide	Synovir	
Thalidomide	Contergan	
Thalidomide	3-Phthalimidoglutarimide	
Thalidomide	Thalidomide	
Thalidomide	Phthalimide, N-(2, 6-dioxo-3-piperidyl)-, (-)-	
Thalidomide	Phthalimide, N-(2, 6-dioxo-3-piperidyl)-, (+)-	
Thalidomide	Sedoval K-17	
Thalidomide	Pantosediv	
Thalidomide	2,6-Dioxo-3-phthalimidopiperidine	
Thalidomide	Softenon	
Thalidomide	Alpha-Phthalimidoglutarimide	
Thalidomide	Distaval	
Thalidomide	N-Phthalylglutamic acid imide	
Thalidomide	Sedalis	
Thalidomide	THALIDOMIDE	
Thalidomide	Thalomid	
Thalidomide	2-(2,6-Dioxo-3-piperidinyl)-1H-isoindole-1,3(2H)-dione	
Thalidomide	Neurosedyn	
Thalidomide	Talimol	
Thalidomide	.alpha.-Phthalimidoglutarimide	
Obinutuzumab	Obinutuzumab	
Obinutuzumab	Anti-CD20_Monoclonal_Antibody_R7159	
Obinutuzumab	Afutuzumab	
Obinutuzumab	RO 5072759	
Obinutuzumab	Anti-CD20 Monoclonal Antibody R7159	
Obinutuzumab	huMAB(CD20)	
Obinutuzumab	R7159	
Obinutuzumab	GA-101	
Obinutuzumab	GA101	
Obinutuzumab	OBINUTUZUMAB	
Dactinomycin	Actinomycin D	
Dactinomycin	Lyovac cosmegen	
Dactinomycin	dactinomycin	
Dactinomycin	2-bis[Cyclo(N-methyl-L-valyl-sarcosyl-L-prolyl-D-valyl-L-threonyl)]-1,9 dimethyl-4,6 3H-phenoxazinone-3	
Dactinomycin	Dactinomycin	
Dactinomycin	Lyovac Cosmegen	
Dactinomycin	ACTINOMYCIN D	
Dactinomycin	Actinomycin-[thr-val-pro-sar-meval]	
Dactinomycin	DACT	
Dactinomycin	Dactinomycine	
Dactinomycin	Actinomycin C1	
Dactinomycin	Meractinomycin	
Dactinomycin	Actinomycin X 1	
Dactinomycin	Actinomycin IV	
Dactinomycin	Actinomycin I1	
Dactinomycin	Actinomycin A IV	
Dactinomycin	Cosmegen	
Dactinomycin	DACTINOMYCIN	
Vorinostat	SAHA	
Vorinostat	N-Hydroxy-N'-phenyloctanediamide	
Vorinostat	Suberanilohydroxamic Acid	
Vorinostat	vorinostat	
Vorinostat	L-001079038	
Vorinostat	Vorinostat	
Vorinostat	suberoylanilide hydroxamic acid	
Vorinostat	MSK-390	
Vorinostat	Suberoylanilide Hydroxamic Acid	
Vorinostat	Zolinza	
Vorinostat	VORINOSTAT	
Vorinostat	Suberoylanilide_Hydroxamic_Acid	
Exemestane	exemestane	
Exemestane	EXEMESTANE	
Exemestane	6-Methyleneandrosta-1,4-diene-3,17-dione	
Exemestane	FCE-24304	
Exemestane	Exemestane	
Exemestane	Aromasin	
Decitabine	DECITABINE	
Decitabine	Deoxyazacytidine	
Decitabine	2'-Deoxy-5-azacytidine	
Decitabine	4-Amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one	
Decitabine	Decitabine	
Decitabine	5-Aza-2'deoxycytidine	
Decitabine	Dezocitidine	
Decitabine	5-Azadeoxycytidine	
Decitabine	5-Aza-2'-deoxycytidine	
Decitabine	Dacogen	
Decitabine	decitabine	
Decitabine	Decitabine for Injection	
Decitabine	5-Aza-2-deoxycytidine	
Idarubicin Hydrochloride	Idarubicin hydrochloride	
Idarubicin Hydrochloride	IDARUBICIN	
Idarubicin Hydrochloride	4-DMDR	
Idarubicin Hydrochloride	idarubicin	
Idarubicin Hydrochloride	(7S-cis)-9-Acetyl-7-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,9,11-trihydroxy-5,12-naphthacenedione	
Idarubicin Hydrochloride	4-Demethoxydaunomycin	
Idarubicin Hydrochloride	SC-33428	
Idarubicin Hydrochloride	Idarubicin Hydrochloride	
Idarubicin Hydrochloride	Idarubicin HCl	
Idarubicin Hydrochloride	Idarubicin_Hydrochloride	
Idarubicin Hydrochloride	IMI-30	
Idarubicin Hydrochloride	Idamycin	
Idarubicin Hydrochloride	Zavedos	
Idarubicin Hydrochloride	(1S,3S)-3-Acetyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-hexopyranoside	
Idarubicin Hydrochloride	4-Demethoxydaunorubicin	
Idarubicin Hydrochloride	Idarubicin	
Idarubicin Hydrochloride	4-demethoxydaunorubicin	
Idarubicin Hydrochloride	IDARUBICIN HYDROCHLORIDE	
Bleomycin	bleomycin	
Bleomycin	BLM	
Bleomycin	Bleomycin	
Bleomycin	BLEOMYCIN	
Bleomycin	BLEO	
Bleomycin	Bleo	
Idelalisib	Zydelig	
Idelalisib	PI3K-delta_Inhibitor_CAL-101	
Idelalisib	CAL-101	
Idelalisib	Phosphoinositide-3 Kinase Delta Inhibitor CAL-101	
Idelalisib	Idelalisib	
Idelalisib	5-Fluoro-3-phenyl-2-((S)-1-(9H-purin-6-ylamino)-propyl)-3H- quinazolin-4-one	
Idelalisib	GS-1101	
Bendamustine Hydrochloride	5-(Bis(2-chloroethyl)amino)-1-methyl-2-benzimidazolebutyric Acid	
Bendamustine Hydrochloride	BENDAMUSTINE	
Bendamustine Hydrochloride	BENDAMUSTINE HYDROCHLORIDE	
Bendamustine Hydrochloride	Treanda	
