Drug	Approval_Date	ATC_ClassID	ATC_ClassName	ATC_ClassStatus	EPC_ClassID	EPC_ClassName
Crizotinib	2011-08-26	null	null	null	null	null
Hydroxyurea	1967-12-07	null	null	null	null	null
17-AAG	null	null	null	null	null	null
Bosutinib	2012-09-04	null	null	null	null	null
Defibrotide Sodium	2016-03-30	null	null	null	null	null
Plerixafor	2008-12-15	null	null	null	null	null
Oraxol	null	null	null	null	null	null
XMD 8-87	null	null	null	null	null	null
Aurora Kinase Inhibitor MLN8054	null	null	null	null	null	null
Pomalidomide	2013-02-08	null	null	null	null	null
Ixazomib Citrate	2015-11-20	null	null	null	null	null
MTF-1 Inhibitor APTO-253 HCl	null	null	null	null	null	null
NVP-AEW541	null	null	null	null	null	null
S31-201	null	null	null	null	null	null
MEK 1/2 Inhibitor FCN-159	null	null	null	null	null	null
Procarbazine Hydrochloride	1969-07-22	null	null	null	null	null
Akt Inhibitor MK2206	null	null	null	null	null	null
Lanreotide Acetate	2007-08-30	null	null	null	null	null
Ropidoxuridine	null	null	null	null	null	null
Mesna	1988-12-30	null	null	null	null	null
BS-181	null	null	null	null	null	null
Daniquidone	null	null	null	null	null	null
Toremifene	null	null	null	null	null	null
Gemtuzumab Ozogamicin	2000-05-17	null	null	null	null	null
Retaspimycin	null	null	null	null	null	null
Cabazitaxel	2010-06-17	null	null	null	null	null
Roscovitine	null	null	null	null	null	null
Andrographolide	null	null	null	null	null	null
Sunitinib	null	null	null	null	null	null
Dexrazoxane Hydrochloride	1995-05-26	null	null	null	null	null
Fosgemcitabine Palabenamide	null	null	null	null	null	null
FOLFOX	null	null	null	null	null	null
Halofuginone	null	null	null	null	null	null
Ginsenoside C-K	null	null	null	null	null	null
Omacetaxine Mepesuccinate	2012-10-26	null	null	null	null	null
Ethinylestradiol	null	null	null	null	null	null
Quizartinib	null	null	null	null	null	null
Atrasentan	null	null	null	null	null	null
SB-431542	null	null	null	null	null	null
Luteolin	null	null	null	null	null	null
PRT062607	null	null	null	null	null	null
PHA-665752	null	null	null	null	null	null
Vemurafenib	2011-08-17	null	null	null	null	null
XAV-939	null	null	null	null	null	null
Vandetanib	2011-04-06	null	null	null	null	null
Vistusertib	null	null	null	null	null	null
SR9011	null	null	null	null	null	null
Brigatinib	null	null	null	null	null	null
CDK Inhibitor AT7519	null	null	null	null	null	null
Ginsenoside	null	null	null	null	null	null
Cediranib	null	null	null	null	null	null
Crenolanib	null	null	null	null	null	null
Linifanib	null	null	null	null	null	null
Losartan	1995-04-14	null	null	null	null	null
Zebularine	null	null	null	null	null	null
Exicorilant	null	null	null	null	null	null
Coenzyme Q10	null	null	null	null	null	null
IGF-methotrexate Conjugate	null	null	null	null	null	null
UAE Inhibitor TAK-243	null	null	null	null	null	null
Dinutuximab	2015-03-10	null	null	null	null	null
Neratinib	null	null	null	null	null	null
Pictilisib	null	null	null	null	null	null
Niraparib	null	null	null	null	null	null
Exemestane	1999-10-21	null	null	null	null	null
Aprepitant	2003-03-27	null	null	null	null	null
Vinorelbine	null	null	null	null	null	null
PI-103	null	null	null	null	null	null
Denosumab	2010-06-01	null	null	null	null	null
Fludarabine Phosphate	1991-04-18	null	null	null	null	null
Dinaciclib	null	null	null	null	null	null
Alpelisib	null	null	null	null	null	null
Go6976	null	null	null	null	null	null
Pan-AKT Kinase Inhibitor GSK690693	null	null	null	null	null	null
MEK Inhibitor CI-1040	null	null	null	null	null	null
AT-101	null	null	null	null	null	null
Ponatinib	null	null	null	null	null	null
Lenalidomide	2005-12-27	null	null	null	null	null
Romidepsin	2009-11-05	null	null	null	null	null
Panitumumab	2006-09-27	null	null	null	null	null
Plk1 Inhibitor BI 2536	null	null	null	null	null	null
Dactinomycin	1964-12-10	null	null	null	null	null
Bexarotene	1999-12-29	null	null	null	null	null
Copanlisib	null	null	null	null	null	null
Oxaliplatin	2002-08-09	null	null	null	null	null
Dactolisib	null	null	null	null	null	null
Topotecan Hydrochloride	1996-05-28	null	null	null	null	null
Arsenic Trioxide	2000-09-25	null	null	null	null	null
Temozolomide	1999-08-11	null	null	null	null	null
Erlotinib	null	null	null	null	null	null
Alectinib	2015-12-11	null	null	null	null	null
Ceritinib	2014-04-29	null	null	null	null	null
Ramucirumab	2014-04-21	null	null	null	null	null
Sapanisertib	null	null	null	null	null	null
Serabelisib	null	null	null	null	null	null
Foretinib	null	null	null	null	null	null
Afatinib	null	null	null	null	null	null
Birinapant	null	null	null	null	null	null
Genistein	null	null	null	null	null	null
Sonidegib	2015-07-24	null	null	null	null	null
Dovitinib	null	null	null	null	null	null
Fluorouracil	1962-04-25	null	null	null	null	null
Regorafenib	2012-09-27	null	null	null	null	null
2-Hydroxyoleic Acid	null	null	null	null	null	null
A-674563	null	null	null	null	null	null
NVP-ADW742	null	null	null	null	null	null
Filgrastim	1991-02-20	null	null	null	null	null
Nilotinib	2007-10-29	null	null	null	null	null
Abemaciclib	null	null	null	null	null	null
Nutlin-3a	null	null	null	null	null	null
Abiraterone	null	null	null	null	null	null
Mitomycin C	1981-08-24	null	null	null	null	null
17beta-Hydroxysteroid Dehydrogenase Type 5 Inhibitor ASP9521	null	null	null	null	null	null
Nelarabine	2005-10-28	null	null	null	null	null
Masitinib	null	null	null	null	null	null
Imiquimod	1997-02-27	null	null	null	null	null
Tretinoin	1971-10-20	null	null	null	null	null
Dual IGF-1R/InsR Inhibitor BMS-754807	null	null	null	null	null	null
Curcumin	null	null	null	null	null	null
Baiclein	null	null	null	null	null	null
JNJ-7706621	null	null	null	null	null	null
Tandutinib	null	null	null	null	null	null
Alisertib	null	null	null	null	null	null
N-(2,6-Difluorophenyl)-5-[3-[2-[5-ethyl-2-methoxy-4-[4-(4-methylsulfonyl-1-piperazinyl)-1-piperidinyl]anilino]-4-pyrimidinyl]-2-imidazo[1,2-a]pyridinyl]-2-methoxybenzamide	null	null	null	null	null	null
Crenigacestat	null	null	null	null	null	null
R406	null	null	null	null	null	null
FLT3/ABL/Aurora Kinase Inhibitor KW-2449	null	null	null	null	null	null
Perhexiline	null	null	null	null	null	null
MEK Inhibitor TAK-733	null	null	null	null	null	null
Ruxolotinib	2011-11-16	null	null	null	null	null
GSK-1838705A	null	null	null	null	null	null
TG100-115	null	null	null	null	null	null
Ixabepilone	2007-10-16	null	null	null	null	null
Cisplatin	1978-12-19	null	null	null	null	null
CDK Inhibitor R547	null	null	null	null	null	null
2,6-Dimethoxyquinone	null	null	null	null	null	null
Thalidomide	1998-07-16	null	null	null	null	null
Pegaspargase	1994-02-01	null	null	null	null	null
ALK Inhibitor TAE684	null	null	null	null	null	null
Mesna	null	null	null	null	null	null
Cabozantinib	null	null	null	null	null	null
Satraplatin	null	null	null	null	null	null
Etoposide	1983-11-10	null	null	null	null	null
3,5,7,8-Tetrahydro-2-[4-(trifluoromethyl)phenyl]-4H-thiopyrano[4,3-d]pyrimidin-4-one	null	null	null	null	null	null
FGFR Inhibitor AZD4547	null	null	null	null	null	null
Ziv-Aflibercept	2011-11-18	null	null	null	null	null
Eribulin Mesylate	2010-11-15	null	null	null	null	null
Aminolevulinic Acid	null	null	null	null	null	null
BMX-IN-1	null	null	null	null	null	null
Thioguanine	1966-01-18	null	null	null	null	null
Venetoclax	2016-04-11	null	null	null	null	null
Bay 11-7085	null	null	null	null	null	null
Bortezomib	2003-05-13	null	null	null	null	null
Ridaforolimus	null	null	null	null	null	null
Aziridinylbenzoquinone	null	null	null	null	null	null
Axitinib	2012-01-27	null	null	null	null	null
Torkinib	null	null	null	null	null	null
Mivavotinib	null	null	null	null	null	null
Ipilimumab	2011-03-25	null	null	null	null	null
Tegatrabetan	null	null	null	null	null	null
