Drug_Query	Drug_Found	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Crizotinib	Crizotinib	NEK9	Protein	Q8TD19	Homo sapiens	HiTS Small Molecule Suite	22037378	Kd	=	790.0	III
Crizotinib	Crizotinib	EPHA8	Protein	P29322	Homo sapiens	HiTS Small Molecule Suite	22037378	Kd	=	280.0	III
Crizotinib	Crizotinib	EPHB1	Protein	P54762	Homo sapiens	HiTS Small Molecule Suite	22037378	Kd	=	120.0	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	28280261	Kd	=	4.4	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	27474925	IC50	=	25.0	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	US-9226923-B2	IC50	=	7.4	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	US-9226923-B2	IC50	=	2.1	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24785465	IC50	=	122.0	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24819116	Ki	=	8.2	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24468632	IC50	=	1600.0	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	27144831	IC50	=	0.64	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24468632	IC50	=	10000.0	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	US-9226923-B2	IC50	=	2.9	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	22037378	Kd	=	3.3	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	CHEMBL1201862	Ki	=	63.1	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24468632	EC50	=	575.3	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	28460311	IC50	=	10.5	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	23937569	IC50	=	5.012	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	HiTS Small Molecule Suite	24432909	Ki	=	8.2	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	21812414	IC50	=	1	III
