Drug_Query	Drug_Found	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	DrugBank	22594847	NA	NA	NA	II
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	21812414	IC50	=	1	III
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	DrugBank	22594847	NA	NA	NA	II
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	IUPHAR	21812414	Ki	=	2	III
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	IUPHAR	21708465	IC50	=	0.779999971	III
Hydroxyurea	Hydroxyurea	RRM2	Protein	P31350	Homo sapiens	IUPHAR	15670581	IC50	=	148000	III
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	DrugBank	14583450	NA	NA	NA	II
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	DrugBank	20005847	NA	NA	NA	II
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	DrugBank	15075397	NA	NA	NA	II
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	DrugBank	20462199	NA	NA	NA	II
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	IUPHAR	15670581	IC50	=	148000	III
Bosutinib	Bosutinib	STK4	Protein	Q13043	Homo sapiens	IUPHAR	19039322	IC50	=	191	III
Bosutinib	Bosutinib	FRK	Protein	P42685	Homo sapiens	IUPHAR	19039322	IC50	=	2.200000048	III
Bosutinib	Bosutinib	MAP2K1	Protein	Q02750	Homo sapiens	DrugBank	19039322	NA	NA	NA	II
Bosutinib	Bosutinib	TNK2	Protein	Q07912	Homo sapiens	IUPHAR	19039322	IC50	=	2.700000048	III
Bosutinib	Bosutinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	12543790	IC50	=	1	III
Bosutinib	Bosutinib	SRC	Protein	P12931	Homo sapiens	IUPHAR	17721511	IC50	=	1	III
Bosutinib	Bosutinib	STK24	Protein	Q9Y6E0	Homo sapiens	IUPHAR	19039322	IC50	=	3.900000095	III
Bosutinib	Bosutinib	MAP3K2	Protein	Q9Y2U5	Homo sapiens	DrugBank	23134735	NA	NA	NA	II
Bosutinib	Bosutinib	MAP3K2	Protein	Q9Y2U5	Homo sapiens	DrugBank	19039322	NA	NA	NA	II
Bosutinib	Bosutinib	TXK	Protein	P42681	Homo sapiens	IUPHAR	19039322	IC50	=	0.300000012	III
Bosutinib	Bosutinib	LYN	Protein	P07948	Homo sapiens	IUPHAR	19039322	IC50	=	8	III
Bosutinib	Bosutinib	MAP4K5	Protein	Q9Y4K4	Homo sapiens	IUPHAR	19039322	IC50	=	0.300000012	III
Bosutinib	Bosutinib	MAP2K2	Protein	P36507	Homo sapiens	DrugBank	19039322	NA	NA	NA	II
Bosutinib	Bosutinib	CAMK2G	Protein	Q13555	Homo sapiens	DrugBank	23493838	NA	NA	NA	II
Bosutinib	Bosutinib	CAMK2G	Protein	Q13555	Homo sapiens	DrugBank	23134735	NA	NA	NA	II
Bosutinib	Bosutinib	CAMK2G	Protein	Q13555	Homo sapiens	DrugBank	19039322	NA	NA	NA	II
Bosutinib	Bosutinib	CAMK2G	Protein	Q13555	Homo sapiens	IUPHAR	19039322	IC50	=	184	III
Bosutinib	Bosutinib	CDK2	Protein	P24941	Homo sapiens	DrugBank	19039322	NA	NA	NA	II
Bosutinib	Bosutinib	CAMK1D	Protein	Q8IU85	Homo sapiens	IUPHAR	19039322	IC50	=	92	III
Bosutinib	Bosutinib	STK10	Protein	O94804	Homo sapiens	IUPHAR	19039322	IC50	=	52	III
Bosutinib	Bosutinib	FYN	Protein	P06241	Homo sapiens	IUPHAR	19039322	IC50	=	1.799999952	III
Defibrotide Sodium	Defibrotide Sodium	ADORA1	Protein	P30542	Homo sapiens	DrugBank	8405101	NA	NA	NA	II
Defibrotide Sodium	Defibrotide Sodium	ADORA2A	Protein	P29274	Homo sapiens	DrugBank	8405101	NA	NA	NA	II
Defibrotide Sodium	Defibrotide Sodium	ADORA2B	Protein	P29275	Homo sapiens	DrugBank	8405101	NA	NA	NA	II
Plerixafor	Plerixafor	ACKR3	Protein	P25106	Homo sapiens	IUPHAR	20956518	NA	NA	NA	II
Plerixafor	Plerixafor	ACKR3	Protein	P25106	Homo sapiens	IUPHAR	19255243	NA	NA	NA	II
Plerixafor	Plerixafor	CCR4	Protein	P51679	Homo sapiens	IUPHAR	16815309	IC50	=	651	III
Plerixafor	Plerixafor	CXCR4	Protein	P61073	Homo sapiens	DrugBank	18847313	NA	NA	NA	II
Plerixafor	Plerixafor	CXCR4	Protein	P61073	Homo sapiens	IUPHAR	11923301	NA	NA	NA	II
Plerixafor	Plerixafor	CXCR4	Protein	P61073	Homo sapiens	DrugBank	23204107	NA	NA	NA	II
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	19402633	IC50	=		III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	17360485	IC50	=		III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	22037378	Kd	=	6.5	III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKB	Protein	Q96GD4	Homo sapiens	IUPHAR	19402633	IC50	=	9.300000191	III
Pomalidomide	Pomalidomide	TNF	Protein	P01375	Homo sapiens	DrugBank	20223979	NA	NA	NA	II
Pomalidomide	Pomalidomide	TNF	Protein	P01375	Homo sapiens	DrugBank	22917017	NA	NA	NA	II
Pomalidomide	Pomalidomide	TNF	Protein	P01375	Homo sapiens	DrugBank	22552008	NA	NA	NA	II
Pomalidomide	Pomalidomide	TNF	Protein	P01375	Homo sapiens	DrugBank	23730498	NA	NA	NA	II
Pomalidomide	Pomalidomide	PTGS2	Protein	P35354	Homo sapiens	DrugBank	20223979	NA	NA	NA	II
Pomalidomide	Pomalidomide	PTGS2	Protein	P35354	Homo sapiens	DrugBank	22917017	NA	NA	NA	II
Pomalidomide	Pomalidomide	PTGS2	Protein	P35354	Homo sapiens	DrugBank	22552008	NA	NA	NA	II
Pomalidomide	Pomalidomide	PTGS2	Protein	P35354	Homo sapiens	DrugBank	23730498	NA	NA	NA	II
Pomalidomide	Pomalidomide	PTGS2	Protein	P35354	Homo sapiens	DrugBank	17308870	NA	NA	NA	II
Pomalidomide	Pomalidomide	CRBN	Protein	Q96SW2	Homo sapiens	DrugBank	20223979	NA	NA	NA	II
Pomalidomide	Pomalidomide	CRBN	Protein	Q96SW2	Homo sapiens	DrugBank	22552008	NA	NA	NA	II
Pomalidomide	Pomalidomide	CRBN	Protein	Q96SW2	Homo sapiens	DrugBank	23730498	NA	NA	NA	II
