Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Oxaliplatin	Oxaliplatin	DNA	DNA	null	Homo sapiens	DrugBank	20550106	NA	NA	NA	II
Oxaliplatin	Oxaliplatin	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Oxaliplatin	Oxaliplatin	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Oxaliplatin	Oxaliplatin	DNA	DNA	null	Homo sapiens	DrugBank	17900616	NA	NA	NA	II
Oxaliplatin	Oxaliplatin	DNA	DNA	null	Homo sapiens	DrugBank	19255091	NA	NA	NA	II
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	24498562	IC50	=	1	III
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	KIT	Protein	P10721	Homo sapiens	IUPHAR	24498562	IC50	=	3880	III
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	24498562	IC50	=	5860	III
Pelitinib	Pelitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	17416531	IC50	=		III
Pelitinib	Pelitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	15006373	IC50	=		III
Lomustine	Lomustine	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Lomustine	Lomustine	DNA	DNA	null	Homo sapiens	DrugBank	11007934	NA	NA	NA	II
Lomustine	Lomustine	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Lomustine	Lomustine	DNA	DNA	null	Homo sapiens	DrugBank	17146474	NA	NA	NA	II
Lomustine	Lomustine	STMN4	Protein	Q9H169	Homo sapiens	DrugBank	18162179	NA	NA	NA	II
Lomustine	Lomustine	STMN4	Protein	Q9H169	Homo sapiens	DrugBank	18593927	NA	NA	NA	II
Dactinomycin	Dactinomycin	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	7756657	NA	NA	NA	II
Dactinomycin	Dactinomycin	DNA	DNA	null	Homo sapiens	DrugBank	2410919	NA	NA	NA	II
Dactinomycin	Dactinomycin	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dactinomycin	Dactinomycin	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dactinomycin	Dactinomycin	DNA	DNA	null	Homo sapiens	DrugBank	10576292	NA	NA	NA	II
Dactinomycin	Dactinomycin	DNA	DNA	null	Homo sapiens	DrugBank	19348506	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	2786749	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	17187516	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	3124610	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RA	Protein	P01589	Homo sapiens	DrugBank	18684057	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RG	Protein	P31785	Homo sapiens	DrugBank	16516670	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RG	Protein	P31785	Homo sapiens	DrugBank	11707860	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RG	Protein	P31785	Homo sapiens	DrugBank	15811959	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RB	Protein	P14784	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RB	Protein	P14784	Homo sapiens	DrugBank	16516670	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RB	Protein	P14784	Homo sapiens	DrugBank	17187516	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RB	Protein	P14784	Homo sapiens	DrugBank	15811959	NA	NA	NA	II
Denileukin Diftitox	Denileukin Diftitox	IL2RB	Protein	P14784	Homo sapiens	DrugBank	18684057	NA	NA	NA	II
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	6380596	NA	NA	NA	II
