Drug 	Synonyms
siRNA-transfected Peripheral Blood Mononuclear Cells APN401	APN401|siRNA-transfected Peripheral Blood Mononuclear Cells APN401|siRNA-transfected PBMC APN401|
Methotrexate-Encapsulating Autologous Tumor-Derived Microparticles	Methotrexate-Encapsulating Autologous Tumor-Derived Microparticles|MTX-ATMP|
Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine	Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine|
Autologous Rapamycin-resistant Th1/Tc1 Cells RAPA-201	RAPA-201|RAPA201|Autologous Rapamycin-resistant Th1/Tc1 Cells RAPA-201|RAPA 201|
Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA/GITRL RNA-transfected Autologous DC|Anti-CTLA4 MoAb RNA/GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL/antiCTLA4 RNA DC|
Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001	Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001|IOV 2001|Autologous PBLs from Ibrutinib-treated CLL Patients|IOV2001|Autologous PBLs IOV-2001|IOV-2001|
Prostate Health Cocktail Dietary Supplement	Prostate Health Cocktail Dietary Supplement|Cholecalciferol/d-Alpha Tocopherol/L-Selenomethionine/Green Tea Extract/Saw Palmetto Berry Extract/Daidzein/Genistein/Lycopene Prostate Health Supplement|PHC|Prostate Health Cocktail|
Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells	Bladder Cell Carcinoma RNAs/CD40L RNA-transfected Autologous Dendritic Cells|Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells|AGS-003-BLD|Autologous DCs Electroporated with Autologous Tumor-derived IVT RNAs/CD40L IVT RNA|Autologous DCs Electroporated with Autologous Tumor-derived RNAs/CD40L RNA|
Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine	anti-CTLA-4 mAb Heavy and Light Chain RNA-transfected Autologous DC|antiCTLA4 RNA DC|Anti-CTLA4 MoAb RNA-transfected Autologous Dendritic Cell Vaccine|
hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine	hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine|
Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11	MCY-M11|Anti-mesothelin mRNA-transfected Autologous PBMCs MCY-M11|Autologous Mesothelin-specific Human mRNA CAR-transfected PBMCs MCY-M11|
Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	ATLCAR.CD30-CD28zeta Cells|CAR-CD30-28zeta-specific Autologous T-cells|Anti-CD30-CAR/CD28z Retroviral Vector-transduced Autologous T-Cells|Autologous CAR-CD19-CD28-zeta-transduced T-lymphocytes|ATLCAR.CD30 Cells|Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|SFG.CAR.CD30 Autologous T-lymphocytes|ATL-expressing CD30-CAR-CD28zeta|
Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes	Autologous Anti-BCMA-CAR-mRNA-transfected CD8-positive T-cells|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-cells|Descartes-08|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes|Anti-BCMA-CAR-mRNA-transfected Autologous CD8+ T-cells|
GITRL RNA-transfected Autologous Dendritic Cell Vaccine	GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL RNA-transfected Autologous DC|GITRL RNA DC|
Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine	Autologous OFA-iLRP RNA-Transfected Dendritic Cell Vaccine|
OPCs/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule	OPCs/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule|MB-6|Oligomeric Proanthocyanidins/Green Tea/Spirullina/Curcumin/Antrodia Camphorate/Fermented Soymilk Extract Capsule|
Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine	Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine|
Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	Anti-CD30-CAR/CD28z-CCR4 Retroviral Vector-transduced Autologous T-Cells|SFG.CCR4-CAR.CD30 Autologous T-lymphocytes|Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|ATLs Co-expressing CD30-CARCD28zeta and CCR4|ATLCAR.CD30.CCR4 Cells|Autologous CCR4-CAR-CD19-CD28-zeta-transduced T-lymphocytes|CCR4-CAR-CD30-28zeta-specific Autologous T-cells|ATLCAR.CD30-CD28zeta-CCR4 Cells|
