Drug	IUPHAR	DrugBank	Sorger_KinaseResourcee	BindingDB	TTD	Synonym_Deck_Size + 	Synonyms 
Rasburicase	No	DrugBank_Yes	No	No	No	9	SR 29142|Rasburicase|recombinant urate oxidase|Elitek|RASBURICASE|rasburicase|Recombinant Urate Oxidase|Urate Oxidase|SR-29142|
Linifanib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	4	LINIFANIB|multitargeted receptor tyrosine kinase inhibitor ABT-869|Linifanib|ABT-869|
Uridine Triacetate	No	DrugBank_Yes	No	BindingDB_Yes	No	13	Uridine Triacetate|Urd|TAU|Triacetyluridine|URIDINE|Tri-O-acetyluridine|triacetyluridine|Uridine|RG2133|PN401|URIDINE TRIACETATE|UR|Vistonuridine|
Mechlorethamine Hydrochloride	No	DrugBank_Yes	No	No	TTD_Yes	45	Mechlorethamine|Mustargen Hydrochloride|Mustargen hydrochloride|Chloromethine Hydrochloride|Chloromethine HCl|Chlorethazine|chlorethazine|Mustargen HCl|mustine|Nitrogen Mustard|Methylbis(beta-chloroethyl)amine|Cloramin|Nitrogen_Mustard|Methylchlorethamine Hydrochloride|mechlorethamine hydrochloride|ethanamine,2-chloro-N-(2-chloroethyl)-N-methyl|N-Lost|Onco-Cloramin|MECHLORETHAMINE|Methylbis(beta-chloroethyl)amine Hydrochloride|Mustargen|mechlorethamine HCl|WR-147650|Chlormethine|ethanamine,2-chloro-N-(2-chloroethyl)-N-methyl Hydrochloride|Mustine hydrochloride|Mustine|Chlorethazine Hydrochloride|Mustine Hydrochloride|methylchlorethamine|Erasol|Bis(2-chloroethyl)methylamine|Caryolysine|HN 2 Hydrochloride|MECHLORETHAMINE HYDROCHLORIDE|Bis(2-chloroethyl)methylamine Hydrochloride|Chlormethine hydrochloride|chloromethine|Mechlorethamine Hydrochloride|Mechlorethamine hydrochloride|Chlormethine Hydrochloride|HN 2|Mustard|chlorethamine hydrochloride|Chlorethamine HCl|
Venetoclax	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	11	ABT-0199|Bcl-2_Inhibitor_GDC-0199|VENETOCLAX|GDC-0199|Venclyxto|RG7601|Venclexta|4-(4-((2-(4-Chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide|ABT199|Venetoclax|ABT-199|
Necitumumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	6	Immunoglobulin G1, Anti-(Human Epidermal Growth Factor Receptor (Receptor Tyrosine-Protein Kinase ErbB-1, EC 2.7.10.1)); Human Monoclonal IMC-11F8 Gamma1 Heavy Chain (224-214')-Disulfide with Human Monoclonal IMC-11F8 Kappa Light Chain, Dimer (230- 230'':233-233'')-Bisdisulfide|Necitumumab|Portrazza|Anti-Epidermal Growth Factor Receptor Monoclonal Antibody IMC-11F8|IMC-11F8|NECITUMUMAB|
Panobinostat	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	7	Panobinostat|Farydak|LBH589|(2E)-N-hydroxy-3-(4-(((2-(2-methyl-1h-indol-3-yl)ethyl)amino)methyl)phenyl)prop-2-enamide|PANOBINOSTAT|Faridak|panobinostat|
Sacituzumab Govitecan	IUPHAR_Yes	DrugBank_Yes	No	No	No	7	Sacituzumab Govitecan-hziy|Sacituzumab Govitecan|IMMU-132|RS7-SN38|hRS7-SN38 Antibody Drug Conjugate|SACITUZUMAB GOVITECAN|Trodelvy|
Irinotecan Hydrochloride	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	21	Camptothecin 11|IRINOTECAN HYDROCHLORIDE|Irinomedac|Campto|7-ethyl-10-[4-(1-piperidino)-1-piperidino]carbonyloxycamptothecin|irinotecan|CPT-11|Irinotecan Hydrochloride Trihydrate|Irinotecan_Base|Irinotecan Hydrochloride|Irinotecan|[1,4'-bipiperidine]-1'-carboxylic acid (S)-4,11-diethyl-3,4,12,14-tetrahydro-4-hydroxy-3,14-dioxo-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl ester|(+)-7-ethyl-10-hydroxycamptothecine 10-[1,4'-bipiperidine]-1'-carboxylate|(+)-(4S)-4,11-diethyl-4-hydroxy-9-[(4-piperidino-piperidino)carbonyloxy]-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinol-3,14,(4H,12H)-dione|Camptothecin-11|Irinotecan Monohydrochloride Trihydrate|IRINOTECAN|CPT 11|U-101440E|irinotecan hydrochloride|Camptosar|
Nivolumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	8	NIVO|Nivolumab|ONO-4538|Opdivo|Anti-PD-1_Human_Monoclonal_Antibody_MDX-1106|BMS-936558|NIVOLUMAB|MDX-1106|
