Drug	Synonyms
Albumin-binding Cisplatin Prodrug BTP-114	Albumin-binding Cisplatin Prodrug BTP-114|Prodrug BTP 114|Albumin-conjugating Platinum-prodrug BTP-114|Cisplatin/Maleimide-based Complex BTP-114|BTP 114|BTP-114|Platinum-Prodrug BTP-114|Cisplatin Prodrug BTP-114|
Trastuzumab Duocarmazine	SYD985|Trastuzumab Duocarmazine|Antibody-drug Conjugate SYD985|vic-Trastuzumab Duocarmazine|ADC SYD985|TRASTUZUMAB DUOCARMAZINE|Trastuzumab-drug Conjugate SYD985|Trastuzumab VC-seco-DUBA|
Paclitaxel Ceribate	PACLITAXEL CERIBATE|Paclitaxel Ceribate|7beta-((2RS)-2,3-dihydroxypropoxycarbonyloxy)-1-hydroxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,10beta,13alpha-tetrayl 4,10-diacetate 2-benzoate 13-((2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoate)|
Olaparib	OLAPARIB|AZD-2281|olaparib|AZD2281|Olaparib|KU-0059436|PARP Inhibitor AZD2281|AZD 2281|Lynparza|PARP inhibitor AZD2281|
Eribulin Mesylate	Halichondrin B Analog|B1939 Mesylate|E7389|Halaven|eribulin mesylate|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|ERIBULIN MESYLATE|Eribulin Mesylate|
Cisplatin-E Therapeutic Implant	CDDP-e therapeutic implant|Cisplatin/Epinephrine Gel|CDDP/epi|CEG|Cisplatin-Epinephrine|MP 5010 TI|MP 5010 Therapeutic Implant|Cisplatin-E Therapeutic Implant|Intradose|Intradose MPI-5010|MPI 5010|CDDP/epi gel|
Abiraterone Acetate	17-(3-Pyridyl)-5,16-androstadien-3beta-acetate|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, acetate (ester), (3beta)-|ABIRATERONE ACETATE|abiraterone acetate|CB7630|Yonsa|Zytiga|Abiraterone Acetate|
Gemcitabine Prodrug LY2334737	LY2334737|Gemcitabine Prodrug LY2334737|
Fulvestrant	ICI 182,780|ICI 182780|FULVESTRANT|Faslodex(ICI 182,780)|ZD9238|fulvestrant|7a-[9-[(4,4,5,5,5,-Pentafluoropentyl)sulphinyl]nonyl]-estra-1,3,5(10)-triene-3,17b-diol|Faslodex|Fulvestrant|
Linoleyl Carbonate-Paclitaxel	Linoleyl Carbonate-Paclitaxel|2-Linoleyl Carbonate-paclitaxel|LOC-paclitaxel|Linoleyl Carbonate-paclitaxel|
Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6	Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6|INT230-6|Cisplatin/Vinblastine Formulation with Cell Penetration Enhancer INT230-6|INT 230-6|
Pembrolizumab	Immunoglobulin G4, Anti-(Human Programmed Cell Death 1); Humanized Mouse Monoclonal (228-L-proline(H10-S>P))gamma 4 Heavy Chain (134-218')-disulfide with Humanized Mouse Monoclonal Kappa Light Chain Dimer (226-226'':229-229'')-bisdisulfide|Pembrolizumab|MK-3475|PEMBROLIZUMAB|Keytruda|Lambrolizumab|SCH 900475|
Pertuzumab	Monoclonal Antibody 2C4|Perjeta|2C4|Pertuzumab|RO4368451|2C4 Antibody|rhuMAb2C4|Immunoglobulin G1, Anti-(Human V (Receptor)) (Human-Mouse Monoclonal 2C4 Heavy Chain), Disulfide with Human-Mouse Monoclonal 2C4 Kappa-Chain, Dimer|pertuzumab|MoAb 2C4|Omnitarg|PERTUZUMAB|
Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502	ADC ADCT-502|ADCT-502|Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502|ADCT502|ADCT 502|Anti-HER2/PBD ADC ADCT 502|
Mucoadhesive Paclitaxel Formulation	Mucoadhesive Paclitaxel Formulation|DHP107|
Oraxol	Paclitaxel/HM30181A|Oraxol|Paclitaxel-HM30181 Methanesulfonate Monohydrate|
Lapatinib	LAPATINIB|GW572016|lapatinib|GW 2016|GW2016|GSK572016|Lapatinib|
Nanoparticle Paclitaxel Ointment SOR007	SOR007|SOR007 Ointment|Topical Nanoparticle Paclitaxel Ointment|NanoPac Ointment|Nanopartcle Paclitaxel SOR007|Nanoparticle Paclitaxel Ointment SOR007|Uncoated Nanoparticle Paclitaxel Ointment|
Everolimus	RAD 001|everolimus|EVEROLIMUS|(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone|42-O-(2-Hydroxy)ethyl Rapamycin|Zortress|Certican|Votubia|Afinitor|RAD001|Everolimus|
Fosgemcitabine Palabenamide	Gemictabine ProTide|Acelarin|FOSGEMCITABINE PALABENAMIDE|NUC 1031|Fosgemcitabine Palabenamide|NUC-1031|
Dasatinib	Dasatinib|dasatinib|Sprycel|Dasatinib Monohydrate|BMS-354825|DASATINIB|5-Thiazolecarboxamide, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)-1-piperazinyl)-2-methyl-4-pyrimidinyl)amino)-, Monohydrate|Dasatinib Hydrate|
