Drug	Synonyms
Regorafenib	Regorafenib|Stivarga|REGORAFENIB|BAY 73-4506|4-(4-(((4-chloro-3-(trifluoromethyl)phenyl)carbamoyl)amino)-3-fluorophenoxy)-N-methylpyridine-2-carboxamide|
Bevacizumab-IRDye 800CW	Bevacizumab-IRDye 800CW|
Pegylated Liposomal Doxorubicin Hydrochloride	Lipodox 50|Evacet|Doxorubicin HCl Liposome|Pegylated Liposomal Doxorubicin Hydrochloride|Doxorubicin HCl Liposomal|TLC D-99|liposomal doxorubicin hydrochloride|Stealth Liposomal Doxorubicin|Liposomal-Encapsulated Doxorubicin|Liposomal Adriamycin|doxorubicin hydrochloride liposome|S-Liposomal Doxorubicin|Caelyx|Doxil|Doxorubicin Hydrochloride Liposome|Dox-SL|Doxilen|Pegylated Doxorubicin HCl Liposome|DOX-SL|DOXIL|LipoDox|Duomeisu|Liposomal Doxorubicin Hydrochloride|(8S-cis)-8-Acetyl-10-[(3-amino-2,3,6-trideoxy-a-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-tri-hydroxy-1-methoxy-5,12-naphthacenedione Hydrochloride|ATI-0918|
Abiraterone Acetate	17-(3-Pyridyl)-5,16-androstadien-3beta-acetate|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, acetate (ester), (3beta)-|ABIRATERONE ACETATE|abiraterone acetate|CB7630|Yonsa|Zytiga|Abiraterone Acetate|
Gemcitabine Prodrug LY2334737	LY2334737|Gemcitabine Prodrug LY2334737|
Linoleyl Carbonate-Paclitaxel	Linoleyl Carbonate-Paclitaxel|2-Linoleyl Carbonate-paclitaxel|LOC-paclitaxel|Linoleyl Carbonate-paclitaxel|
Carbon C-14 Dacomitinib	Carbon C-14 Dacomitinib|[14C]PF-00299804|Carbon C 14 PF-00299804|
Pembrolizumab	Immunoglobulin G4, Anti-(Human Programmed Cell Death 1); Humanized Mouse Monoclonal (228-L-proline(H10-S>P))gamma 4 Heavy Chain (134-218')-disulfide with Humanized Mouse Monoclonal Kappa Light Chain Dimer (226-226'':229-229'')-bisdisulfide|Pembrolizumab|MK-3475|PEMBROLIZUMAB|Keytruda|Lambrolizumab|SCH 900475|
Sunitinib	sunitinib|Sunitinib|SUNITINIB|1H-Pyrrole-3-carboxamide, N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-|
Mucoadhesive Paclitaxel Formulation	Mucoadhesive Paclitaxel Formulation|DHP107|
Dacomitinib	DACOMITINIB|EGFR Inhibitor PF-00299804|(2E)-N-(4-((3-Chloro-4-Fluorophenyl)Amino)-7-Methoxyquinazolin-6-yl)-4-Piperidin-1-ylbut-2-Enamide|Dacomitinib|PF-00299804|PF-00299804-03|PF-299804|Vizimpro|
Etirinotecan Pegol	NKTR 102|Onzeald|ETIRINOTECAN PEGOL|Etirinotecan Pegol|PEG-Irinotecan|NKTR-102|
Panobinostat	Panobinostat|Farydak|LBH589|(2E)-N-hydroxy-3-(4-(((2-(2-methyl-1h-indol-3-yl)ethyl)amino)methyl)phenyl)prop-2-enamide|PANOBINOSTAT|Faridak|panobinostat|
Lenvatinib Mesylate	E7080|Lenvatinib Mesylate|4-[3-Chloro-4-(N'-cyclopropylureido)phenoxy]7-methoxyquinoline-6-carboxamide Mesylate|Lenvima|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-, methanesulfonate (1:1)|LENVATINIB MESYLATE|
