Drug	Synonyms
Dactolisib Tosylate	Dactolisib Tosylate|NVP-BEZ235-ANA|2-Methyl-2-(4-(3-methyl-2-oxo-8-(quinolin-3-yl)-2,3-dihydroimidazo(4,5-c)quinolin-1-yl)phenyl)propanenitrile 4-Methylbenzenesulfonate|DACTOLISIB TOSYLATE|Benzeneacetonitrile, 4-(2,3-Dihydro-3-methyl-2-oxo-8-(3-quinolinyl)-1H-imidazo(4,5-c)quinolin-1-yl)-alpha,alpha-dimethyl-, 4-Methylbenzenesulfonate (1:1)|NVP-BEZ235-NX|
FLT3/ABL/Aurora Kinase Inhibitor KW-2449	FLT3/ABL/Aurora Kinase Inhibitor KW-2449|KW-2449|
Bevacizumab-IRDye 800CW	Bevacizumab-IRDye 800CW|
Serabelisib	Serabelisib|TAK 117|INK1117|TAK-117|MLN1117|(6-(2-Amino-5-benzoxazolyl)imidazo(1,2-a)pyridin-3-yl)-4-morpholinylmethanone|MLN-1117|SERABELISIB|
Vandetanib	Vandetanib|ZD-6474|vandetanib|Zactima|AZD6474|Caprelsa|VANDETANIB|ZD6474|
LSD1 Inhibitor GSK2879552	LSD1 Inhibitor GSK2879552|GSK2879552|
Staurosporine	(9alpha,10beta,11beta,13alpha)-(+)-2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-11-(methylamino)-9,13-epoxy-1H-9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-1-one|AM-2282|staurosporine|CGP-39360|STAUROSPORINE|Staurosporine|8,12-Epoxy-1H,8H-2,7b,12a-triazadibenzo(a,g)cyclonona(cde)trinden-1-one, 2,3,9,10,11,12-hexahydro-9-methoxy-8-methyl-10-(methylamino)-, (8alpha,9beta,10beta,12alpha)-(+)-|Antibiotic AM 2282|Antibiotic 230|
Pegylated Liposomal Doxorubicin Hydrochloride	Lipodox 50|Evacet|Doxorubicin HCl Liposome|Pegylated Liposomal Doxorubicin Hydrochloride|Doxorubicin HCl Liposomal|TLC D-99|liposomal doxorubicin hydrochloride|Stealth Liposomal Doxorubicin|Liposomal-Encapsulated Doxorubicin|Liposomal Adriamycin|doxorubicin hydrochloride liposome|S-Liposomal Doxorubicin|Caelyx|Doxil|Doxorubicin Hydrochloride Liposome|Dox-SL|Doxilen|Pegylated Doxorubicin HCl Liposome|DOX-SL|DOXIL|LipoDox|Duomeisu|Liposomal Doxorubicin Hydrochloride|(8S-cis)-8-Acetyl-10-[(3-amino-2,3,6-trideoxy-a-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-tri-hydroxy-1-methoxy-5,12-naphthacenedione Hydrochloride|ATI-0918|
Tetrahydrouridine	THU|tetrahydrouridine|Tetrahydrouridine|2(1H)-pyrimidinone, tetrahydro-4-hydroxy-1-beta-D-ribofuranosyl-|
Tivozanib	AV-951|TIVOZANIB|Urea, N-[2-chloro-4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N'-(5-methyl-3-isoxazolyl)-|Tivozanib|
