Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-383280,"Nuclear Receptor transcription pathway",37,84,0.0076537585421412304,1.1102230246251565E-16,1.7763568394002505E-15,1,1,9.408222786715589E-5,9606,Homo sapiens,"P10826;O75469;P48443;P19793;P13631;P11474;P10275;P10276;P51843;P41235;P37231;P04150;Q92731;Q96RI1;P03372;P28702;P06401;Q13285","O75469-5;P19793;O75469-6;O75469-3;O75469-4;P04150-1;P10275;P04150-2;P10276;P04150-3;O75469-7;P04150-4;P41235;O75469-1;O75469-2;Q92731;P03372;Q96RI1-2;Q96RI1-1;P06401;Q13285;Q96RI1-4;Q96RI1-3;P10826;P51843-2;P48443;P06401-2;P13631;P11474;P04150-5;P37231;P04150-6;P04150-7;P04150-8;P04150-9;P51843-1;P28702","R-HSA-376419"
R-HSA-8853659,"RET signaling",72,278,0.025330296127562643,1.1102230246251565E-16,1.7763568394002505E-15,57,63,0.0059271803556308214,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;P22694;Q13200;Q13164;P22455;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P42338;P42336;P52333;O00329;P05106;P28066;P28065;P28062;Q05397;P08581;P20618;P17252;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P17612;P11362;O14818;O60674;P22607;P23458;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;P22694;Q13200;Q13164;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P42338;P42336;P52333;O00329;P05106;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P17252;P11362-1;P06241;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P17612;O14818;O60674;P23458;Q16584","R-HSA-8853762;R-HSA-8853774;R-HSA-8855564;R-HSA-5675206;R-HSA-8853789;R-HSA-5672950;R-HSA-5672951;R-HSA-5672948;R-HSA-8853793;R-HSA-5675376;R-HSA-8853792;R-HSA-5674366;R-HSA-5672958;R-HSA-5672957;R-HSA-5672954;R-HSA-8853801;R-HSA-8853800;R-HSA-5675373;R-HSA-8871227;R-HSA-8871226;R-HSA-5674132;R-HSA-5672980;R-HSA-8854981;R-HSA-5674130;R-HSA-5672978;R-HSA-8855747;R-HSA-5674387;R-HSA-8855617;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-5672965;R-HSA-8855508;R-HSA-5674373;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-5672972;R-HSA-5672973;R-HSA-5672969;R-HSA-8853734;R-HSA-5675198;R-HSA-5658430;R-HSA-5675194;R-HSA-8855915;R-HSA-8853737;R-HSA-5675431;R-HSA-8854899;R-HSA-5674019;R-HSA-8853745;R-HSA-8854897;R-HSA-8854908;R-HSA-8853755;R-HSA-8854905;R-HSA-8853753;R-HSA-5675433"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",39,110,0.010022779043280182,1.1102230246251565E-16,1.7763568394002505E-15,9,10,9.408222786715589E-4,9606,Homo sapiens,"O00329;P06239;Q9Y243;P28482;P12931;P31751;P21802;P62993;P08581;P06241;P21860;P15391;P05230;P22455;Q8TBX8;Q15303;P04626;P31749;P27361;P09619;P78356;Q9NWZ3;P10721;Q99755;P16234;P11362;P51617;P22607;O60331;P00533;P42338;P42336;P06213","O00329;P06239;Q9Y243;P21860-1;P28482;P31751;P21802-18;P11362-19;P08581;P62993-1;P12931-1;P11362-1;P06241;P15391;P05230;P22455;Q15303-2;Q8TBX8;Q15303-1;P22607-2;P04626;P22607-1;P31749;P27361;P09619;P78356;Q9NWZ3;P10721;P21802-5;P21802-3;Q99755;P21802-1;P16234;P51617;O60331;P00533;P42338;P42336;P06213","R-HSA-199443;R-HSA-2316434;R-HSA-8857925;R-HSA-199425;R-HSA-6811504;R-HSA-6811472;R-HSA-1675776;R-HSA-6811454;R-HSA-1676082"
R-HSA-2871796,"FCERI mediated MAPK activation",76,362,0.032984054669703874,1.1102230246251565E-16,1.7763568394002505E-15,53,59,0.005550851444162197,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P07948;P12931;P21802;P15056;P62993;Q13200;P22455;P05412;P04049;Q15303;P27361;P09619;P10721;P53779;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;Q13177;P60900;P52333;P05106;P28066;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P43405;P11362;O14818;O60674;P22607;P45983;P23458;P45985;O14733;P45984;Q13233;Q13153;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P07948;P15056;P62993-1;P12931-1;Q13200;P22455;Q15303-2;P05412;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P53779;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;Q13177;P60900;P52333;P05106;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P43405;O14818;O60674;P45983;P23458;P45985;O14733;P45984;Q13233;Q13153;Q16584","R-HSA-5675206;R-HSA-450325;R-HSA-2396599;R-HSA-2396606;R-HSA-5672950;R-HSA-2730889;R-HSA-5672951;R-HSA-5672948;R-HSA-2730892;R-HSA-5675376;R-HSA-5674366;R-HSA-5672958;R-HSA-450348;R-HSA-5672957;R-HSA-5672954;R-HSA-2730887;R-HSA-2730886;R-HSA-2396561;R-HSA-2730896;R-HSA-2424477;R-HSA-5675373;R-HSA-2730856;R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-168136;R-HSA-2730851;R-HSA-5675417;R-HSA-5672966;R-HSA-5672965;R-HSA-5674373;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-5672972;R-HSA-5672973;R-HSA-2730868;R-HSA-5672969;R-HSA-168162;R-HSA-5675198;R-HSA-5658430;R-HSA-5675194;R-HSA-2730841;R-HSA-5675431;R-HSA-2730840;R-HSA-450292;R-HSA-5674019;R-HSA-2730844;R-HSA-5675433"
R-HSA-448424,"Interleukin-17 signaling",91,316,0.028792710706150342,1.1102230246251565E-16,1.7763568394002505E-15,72,81,0.007620660457239628,9606,Homo sapiens,"O43353;Q13555;Q13554;P36507;Q15418;P28482;P07949;Q13557;P12931;O75582;O43318;P21802;P15056;P62993;P49137;Q13200;Q13164;P22455;Q15349;P05412;P52564;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;P53779;Q99436;P16234;Q02763;P41240;P01589;P49721;P49720;P00533;P60900;P46734;P52333;P05106;P29597;P28066;Q15759;P28065;P28062;Q05397;P08581;P20618;P61088;P06241;P21860;P25789;P25788;P05230;P40306;P05231;O14920;P27448;P25787;P25786;Q16539;O15111;P04626;P51812;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P11362;O14818;O60674;P51617;P19838;P22607;P06493;P45983;P23458;P45985;O14733;P45984;Q16584","O43353;Q13555;Q13554;P36507;Q15418;P28482;P07949;Q13557;O75582;O43318;P15056;P62993-1;P12931-1;P49137;Q13200;Q13164;P22455;Q15349;P05412;P52564;Q15303-2;P04049;Q15303-3;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;Q9UQM7;P53779;P21802-5;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P01589;P49721;P49720;P00533;P60900;P46734;P52333;P05106;P29597;P28066;Q15759;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P61088;P11362-1;P06241;P25789;P25788;P05230;P40306;P05231;O14920;P27448;P25787;P25786;Q16539;O15111;P04626;P51812;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;O14818;O60674;P51617;P19838;P06493;P45983;P23458;P45985;O14733;P45984;Q16584","R-HSA-198669;R-HSA-5675206;R-HSA-450325;R-HSA-199959;R-HSA-203797;R-HSA-450333;R-HSA-5672950;R-HSA-109857;R-HSA-5672951;R-HSA-5672948;R-HSA-109858;R-HSA-109860;R-HSA-5675376;R-HSA-109863;R-HSA-450337;R-HSA-109862;R-HSA-5674366;R-HSA-450222;R-HSA-5672958;R-HSA-109864;R-HSA-450348;R-HSA-5672957;R-HSA-450346;R-HSA-5672954;R-HSA-451634;R-HSA-5675373;R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-451649;R-HSA-5674385;R-HSA-198731;R-HSA-5674140;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-5675417;R-HSA-5672966;R-HSA-5672965;R-HSA-5674373;R-HSA-199895;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-450257;R-HSA-112342;R-HSA-198746;R-HSA-5672972;R-HSA-5672973;R-HSA-5672969;R-HSA-168162;R-HSA-199910;R-HSA-5684275;R-HSA-198756;R-HSA-5684273;R-HSA-5675198;R-HSA-5658430;R-HSA-5675194;R-HSA-199917;R-HSA-5675431;R-HSA-450292;R-HSA-5684261;R-HSA-5674019;R-HSA-168053;R-HSA-199929;R-HSA-168440;R-HSA-199935;R-HSA-5684267;R-HSA-450296;R-HSA-5675433"
R-HSA-451927,"Interleukin-2 family signaling",72,274,0.024965831435079727,1.1102230246251565E-16,1.7763568394002505E-15,59,67,0.006303509267099445,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;Q13200;P22455;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P42338;P42336;P52333;O00329;P05106;P06239;P28066;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P51692;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P43405;P11362;O14818;O60674;P22607;P23458;Q14289;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;Q13200;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P42338;P42336;P52333;O00329;P05106;P06239;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P51692;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P43405;O14818;O60674;P23458;Q14289;Q16584","R-HSA-450054;R-HSA-452102;R-HSA-452100;R-HSA-912527;R-HSA-508292;R-HSA-452097;R-HSA-450063;R-HSA-452108;R-HSA-5675206;R-HSA-452122;R-HSA-913424;R-HSA-5672950;R-HSA-449830;R-HSA-5672951;R-HSA-5672948;R-HSA-508451;R-HSA-5675376;R-HSA-507937;R-HSA-5674366;R-HSA-5672958;R-HSA-5672957;R-HSA-5672954;R-HSA-451895;R-HSA-451900;R-HSA-5675373;R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-508247;R-HSA-5672965;R-HSA-5674373;R-HSA-913374;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-5672972;R-HSA-5672973;R-HSA-449115;R-HSA-5672969;R-HSA-451942;R-HSA-919404;R-HSA-508513;R-HSA-5675198;R-HSA-5658430;R-HSA-5675194;R-HSA-450027;R-HSA-5675431;R-HSA-453111;R-HSA-5674019;R-HSA-453104;R-HSA-508282;R-HSA-452091;R-HSA-5675433"
R-HSA-169893,"Prolonged ERK activation events",67,261,0.023781321184510252,1.1102230246251565E-16,1.7763568394002505E-15,44,50,0.004704111393357795,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;Q13200;P22455;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;P11362;O14818;O60674;P22607;P23458;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;Q13200;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P04629-1;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;O14818;O60674;P23458;Q16584","R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-5675206;R-HSA-5672965;R-HSA-5674373;R-HSA-5672960;R-HSA-170964;R-HSA-5674496;R-HSA-5672961;R-HSA-170965;R-HSA-5672972;R-HSA-5672973;R-HSA-170975;R-HSA-5672969;R-HSA-5672950;R-HSA-170978;R-HSA-5672951;R-HSA-170979;R-HSA-169891;R-HSA-5672948;R-HSA-170977;R-HSA-169895;R-HSA-5675376;R-HSA-5675198;R-HSA-5674366;R-HSA-5672958;R-HSA-5658430;R-HSA-5672957;R-HSA-5675194;R-HSA-5672954;R-HSA-169901;R-HSA-5675431;R-HSA-169904;R-HSA-169905;R-HSA-5674019;R-HSA-5675373;R-HSA-5675433"
R-HSA-187687,"Signalling to ERKs",72,272,0.02478359908883827,1.1102230246251565E-16,1.7763568394002505E-15,55,63,0.0059271803556308214,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;P49137;Q13200;P22455;P04049;Q15303;P27361;P09619;P10721;P53778;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;Q15759;O15264;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;Q16539;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;P11362;O14818;O60674;P22607;P23458;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;P49137;Q13200;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P53778;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;Q15759;P21860-1;O15264;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P04629-1;P25789;P25788;P05230;P40306;P27448;P25787;P25786;Q16539;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;O14818;O60674;P23458;Q16584","R-HSA-171011;R-HSA-5675206;R-HSA-167056;R-HSA-5672950;R-HSA-5685366;R-HSA-5672951;R-HSA-169891;R-HSA-5672948;R-HSA-169895;R-HSA-5675376;R-HSA-5674366;R-HSA-5672958;R-HSA-187688;R-HSA-5672957;R-HSA-5672954;R-HSA-169901;R-HSA-187698;R-HSA-169904;R-HSA-167217;R-HSA-187697;R-HSA-169905;R-HSA-5675373;R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-5672965;R-HSA-5674373;R-HSA-5672960;R-HSA-170964;R-HSA-5674496;R-HSA-5672961;R-HSA-170965;R-HSA-5672972;R-HSA-5672973;R-HSA-170975;R-HSA-5672969;R-HSA-170978;R-HSA-187746;R-HSA-170979;R-HSA-5686071;R-HSA-170977;R-HSA-5675198;R-HSA-5658430;R-HSA-167019;R-HSA-5675194;R-HSA-170991;R-HSA-5675431;R-HSA-5674019;R-HSA-5675433"
R-HSA-5684996,"MAPK1/MAPK3 signaling",68,260,0.02369020501138952,1.1102230246251565E-16,1.7763568394002505E-15,40,46,0.004327782481889171,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;Q13200;P22455;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P29597;P28066;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P05231;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;P11362;O14818;O60674;P22607;P06493;P23458;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;Q13200;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P29597;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P25789;P25788;P05230;P40306;P05231;P27448;P25787;P25786;P04626;P28074;Q02750;P28072;Q99460;P28070;P14784;P31785;O14818;O60674;P06493;P23458;Q16584","R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-5675206;R-HSA-5672965;R-HSA-5674373;R-HSA-5672960;R-HSA-5674496;R-HSA-5672961;R-HSA-112342;R-HSA-5672972;R-HSA-5672973;R-HSA-5672969;R-HSA-5672950;R-HSA-109857;R-HSA-5672951;R-HSA-5672948;R-HSA-109858;R-HSA-109860;R-HSA-5675376;R-HSA-109863;R-HSA-109862;R-HSA-5675198;R-HSA-5674366;R-HSA-5672958;R-HSA-5658430;R-HSA-109864;R-HSA-5672957;R-HSA-5675194;R-HSA-5672954;R-HSA-5675431;R-HSA-5674019;R-HSA-5675373;R-HSA-5675433"
R-HSA-170968,"Frs2-mediated activation",67,259,0.023599088838268792,1.1102230246251565E-16,1.7763568394002505E-15,39,45,0.004233700254022015,9606,Homo sapiens,"Q13555;Q13554;P36507;P07949;P28482;Q13557;P12931;P21802;P15056;P62993;Q13200;P22455;P04049;Q15303;P27361;P09619;P10721;Q9UQM7;Q99436;P16234;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;P28065;P28062;Q05397;P08581;P20618;P06241;P21860;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;P11362;O14818;O60674;P22607;P23458;Q16584","Q13555;Q13554;P36507;P07949;P28482;Q13557;P15056;P62993-1;P12931-1;Q13200;P22455;Q15303-2;Q15303-3;P04049;Q15303-1;P22607-2;P22607-1;P27361;P09619;P10721;P21802-5;Q9UQM7;P21802-3;Q99436;P16234;P21802-1;Q02763;P41240;P49721;P01589;P49720;P00533;P60900;P52333;P05106;P28066;P21860-1;P28065;P28062;Q05397;P21802-18;P11362-19;P08581;P20618;P11362-1;P06241;P04629-1;P25789;P25788;P05230;P40306;P27448;P25787;P25786;P04626;P28074;P04629;Q02750;P28072;Q99460;P28070;P14784;P31785;O14818;O60674;P23458;Q16584","R-HSA-5674132;R-HSA-5672980;R-HSA-5674130;R-HSA-5672978;R-HSA-5674387;R-HSA-5674385;R-HSA-5674140;R-HSA-5675417;R-HSA-5672966;R-HSA-5675206;R-HSA-5672965;R-HSA-5674373;R-HSA-5672960;R-HSA-170964;R-HSA-5674496;R-HSA-5672961;R-HSA-170965;R-HSA-5672972;R-HSA-5672973;R-HSA-170975;R-HSA-5672969;R-HSA-5672950;R-HSA-170978;R-HSA-5672951;R-HSA-170979;R-HSA-5672948;R-HSA-170977;R-HSA-5675376;R-HSA-5675198;R-HSA-5674366;R-HSA-5672958;R-HSA-5658430;R-HSA-5672957;R-HSA-5675194;R-HSA-5672954;R-HSA-5675431;R-HSA-5674019;R-HSA-5675373;R-HSA-5675433"
