Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	KIT	Protein	P10721	Homo sapiens	IUPHAR	24498562	IC50	=	3880	III
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	24498562	IC50	=	5860	III
CSF-1R Inhibitor BLZ945	CSF-1R Inhibitor BLZ945	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	24498562	IC50	=	1	III
Pelitinib	Pelitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	17416531	IC50	=		III
Pelitinib	Pelitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	15006373	IC50	=		III
Olaparib	Olaparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	18800822	IC50	=	1	III
Olaparib	Olaparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	12857389	IC50	=	1	III
Olaparib	Olaparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	18800822	IC50	=	5	III
Olaparib	Olaparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	12857389	IC50	=	5	III
Rolapitant Hydrochloride	Rolapitant Hydrochloride	TACR1	Protein	P25103	Homo sapiens	IUPHAR	22497992	Ki	=	0.66	III
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	15930265	IC50	=	15	III
Tozasertib	Tozasertib	AURKB	Protein	Q96GD4	Homo sapiens	IUPHAR	14981513	Ki	=	18	III
Tozasertib	Tozasertib	AURKA	Protein	O14965	Homo sapiens	IUPHAR	22037378	Kd	=	3.900000095	III
Tozasertib	Tozasertib	AURKA	Protein	O14965	Homo sapiens	IUPHAR	14981513	Ki	=	0.600000024	III
Tozasertib	Tozasertib	AURKC	Protein	Q9UQB9	Homo sapiens	IUPHAR	14981513	Ki	=	4.599999905	III
Momelotinib	Momelotinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	19295546	IC50	=	155	III
Momelotinib	Momelotinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	19295546	IC50	=	11	III
Momelotinib	Momelotinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	19295546	IC50	=	18	III
Cediranib	Cediranib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	15899831	IC50	=	5	III
Cediranib	Cediranib	KDR	Protein	P35968	Homo sapiens	IUPHAR	22037378	Kd	=	1.100000024	III
Cediranib	Cediranib	KDR	Protein	P35968	Homo sapiens	IUPHAR	15899831	IC50	<	1	III
Cediranib	Cediranib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	15899831	IC50	=	5	III
Cediranib	Cediranib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	15899831	IC50	>	1000	III
Cediranib	Cediranib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	15899831	IC50	=	110	III
Cediranib	Cediranib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	15899831	IC50	<	3	III
Cediranib	Cediranib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	15899831	IC50	=	36	III
Cediranib	Cediranib	KIT	Protein	P10721	Homo sapiens	IUPHAR	15899831	IC50	=	3	III
Midostaurin	Midostaurin	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	11	III
Midostaurin	Midostaurin	FLT3	Protein	P36888	Homo sapiens	IUPHAR	12124173	IC50	=	528	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK2	Protein	P24941	Homo sapiens	IUPHAR	22037378	Kd	=	0.529999971	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK2	Protein	P24941	Homo sapiens	IUPHAR	17121911	Ki	=	3	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK4	Protein	P11802	Homo sapiens	IUPHAR	17121911	Ki	=	1	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK1	Protein	P06493	Homo sapiens	IUPHAR	17121911	Ki	=	2	III
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1|IFNAR2	Protein	P17181|P48551	Homo sapiens	IUPHAR	10607680	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	IUPHAR	10607680	NA	NA	NA	II
VX-745	VX-745	MAPK14	Protein	Q16539	Homo sapiens	IUPHAR	18183025	IC50	=	10	III
VX-745	VX-745	MAPK11	Protein	Q15759	Homo sapiens	IUPHAR	18183025	IC50	=	220	III
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
