Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Vemurafenib	RAF1	Protein	P04049	Homo sapiens	BindingDB	22808911	IC50	=	 48	III
Vemurafenib	RAF1	Protein	P04049	Homo sapiens	IUPHAR	22808911	IC50	=		III
Vemurafenib	RAF1	Protein	P04049	Homo sapiens	IUPHAR	26343583	IC50	=		III
Vemurafenib	EGFR	Protein	P00533	Homo sapiens	BindingDB	24588073	IC50	>	10000	III
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	Therapeutic Target Database	NA_TTD	NA	NA	NA	I
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	DrugBank	23094782	NA	NA	NA	II
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	BindingDB	25462267	IC50	=	 23	III
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	IUPHAR	22808911	IC50	=	100	III
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	BindingDB	25462267	IC50	=	 33	III
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	BindingDB	23623674	IC50	=	 21	III
Vemurafenib	BRAF	Protein	P15056	Homo sapiens	BindingDB	22808911	IC50	=	 100	III
Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	Therapeutic Target Database	NA_TTD	NA	NA	NA	I
Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	10592235	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17115008	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	12911317	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11046078	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11984069	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11179439	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	17652819	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	10194547	NA	NA	NA	II
Dexrazoxane Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	11332155	NA	NA	NA	II
Elotuzumab	SLAMF7	Protein	Q9NQ25	Homo sapiens	DrugBank	26809244	NA	NA	NA	II
Elotuzumab	SLAMF7	Protein	Q9NQ25	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=	8.859999657	I
Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18945860	NA	NA	NA	II
Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18321240	NA	NA	NA	II
Ixabepilone	TUBB3	Protein	Q13509	Homo sapiens	DrugBank	18378531	NA	NA	NA	II
Ixabepilone	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Cisplatin	Solute carrier family 22 member 2	Protein	Q9R0W2	Rattus norvegicus	BindingDB	10220855	Ki	=	 925000	III
Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17932658	NA	NA	NA	II
Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17900616	NA	NA	NA	II
Cisplatin	DNA	DNA	null	Homo sapiens	Therapeutic Target Database	NA_TTD	NA	NA	NA	I
Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Cisplatin	DNA	DNA	null	Homo sapiens	DrugBank	8640534	NA	NA	NA	II
Lapatinib Ditosylate	MAP3K12	Protein	Q12852	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	SBK3	Protein	P0C264	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PIK3CD	Protein	O00329	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP3K7	Protein	O43318	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NTRK1	Protein	P04629	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NTRK1	Protein	P04629	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP4K1	Protein	Q92918	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP4K1	Protein	Q92918	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP2K6	Protein	P52564	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP2K6	Protein	P52564	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	IRAK4	Protein	Q9NWZ3	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	AURKB	Protein	Q96GD4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	AURKB	Protein	Q96GD4	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	EPHB1	Protein	P54762	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	EPHB1	Protein	P54762	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	IGF1R	Protein	P08069	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	IGF1R	Protein	P08069	Homo sapiens	BindingDB	20817523	IC50	>	30000	III
Lapatinib Ditosylate	IGF1R	Protein	P08069	Homo sapiens	BindingDB	20346655	IC50	>	10000	III
Lapatinib Ditosylate	IGF1R	Protein	P08069	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ADCK4	Protein	Q96D53	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	ADCK4	Protein	Q96D53	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PHKG2	Protein	P15735	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PHKG2	Protein	P15735	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL2	Protein	P42684	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	ABL2	Protein	P42684	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	DYRK1A	Protein	Q13627	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAPK8	Protein	P45983	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAPK8	Protein	P45983	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	18183025	KD	>	1	III
Lapatinib Ditosylate	RET	Protein	P07949	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	EPHA1	Protein	P21709	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	EPHA1	Protein	P21709	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	SIK1	Protein	P57059	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	SIK1	Protein	P57059	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MAP2K2	Protein	P36507	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	MAP2K2	Protein	P36507	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	BTK	Protein	Q06187	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	BTK	Protein	Q06187	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	STK38L	Protein	Q9Y2H1	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK38L	Protein	Q9Y2H1	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MYO3A	Protein	Q8NEV4	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	MYO3A	Protein	Q8NEV4	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	FRK	Protein	P42685	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	FRK	Protein	P42685	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	IKBKE	Protein	Q14164	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	IKBKE	Protein	Q14164	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TLK1	Protein	Q9UKI8	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TLK1	Protein	Q9UKI8	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PLK1	Protein	P53350	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	PLK1	Protein	P53350	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	PLK1	Protein	P53350	Homo sapiens	BindingDB	21080629	IC50	>	100000	III
Lapatinib Ditosylate	TTK	Protein	P33981	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TTK	Protein	P33981	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	NTRK3	Protein	Q16288	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	NTRK3	Protein	Q16288	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK24	Protein	Q9Y6E0	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	STK24	Protein	Q9Y6E0	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TGFBR2	Protein	P37173	Homo sapiens	BindingDB	18183025	KD	>	10000	III
Lapatinib Ditosylate	TGFBR2	Protein	P37173	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CDK9	Protein	P50750	Homo sapiens	BindingDB	22037378	KD	>	10000	III
Lapatinib Ditosylate	CDK9	Protein	P50750	Homo sapiens	BindingDB	18183025	KD	>	10000	III
